"Sex_Age" "estimate" "iter" "population"
"Male_Adult" 0.6522718 49 "SP"
"Female_Juvenile" 0.1544639 49 "SP"
"Male_Juvenile" 0.1932836 49 "SP"
"Female_Adult" 0.6739084 50 "SP"
"Male_Adult" 0.7159707 50 "SP"
"Female_Juvenile" 0.1289977 50 "SP"
"Male_Juvenile" 0.1974813 50 "SP"
"Female_Adult" 0.730389 51 "SP"
"Male_Adult" 0.711053 51 "SP"
"Female_Juvenile" 0.1935759 51 "SP"
"Male_Juvenile" 0.1684328 51 "SP"
"Female_Adult" 0.6880739 52 "SP"
"Male_Adult" 0.660855 52 "SP"
"Female_Juvenile" 0.1756864 52 "SP"
"Male_Juvenile" 0.2562202 52 "SP"
"Female_Adult" 0.6585387 53 "SP"
"Male_Adult" 0.6969953 53 "SP"
"Female_Juvenile" 0.1379507 53 "SP"
"Male_Juvenile" 0.20212 53 "SP"
"Female_Adult" 0.6588042 54 "SP"
"Male_Adult" 0.7173458 54 "SP"
"Female_Juvenile" 0.1429659 54 "SP"
"Male_Juvenile" 0.2317476 54 "SP"
"Female_Adult" 0.6703743 55 "SP"
"Male_Adult" 0.6704809 55 "SP"
"Female_Juvenile" 0.1218973 55 "SP"
"Male_Juvenile" 0.2832105 55 "SP"
"Female_Adult" 0.6657197 56 "SP"
"Male_Adult" 0.7204915 56 "SP"
"Female_Juvenile" 0.1555894 56 "SP"
"Male_Juvenile" 0.2561204 56 "SP"
"Female_Adult" 0.6537423 57 "SP"
"Male_Adult" 0.7053351 57 "SP"
"Female_Juvenile" 0.1846391 57 "SP"
"Male_Juvenile" 0.2394161 57 "SP"
"Female_Adult" 0.6575336 58 "SP"
"Male_Adult" 0.7423566 58 "SP"
"Female_Juvenile" 0.1491821 58 "SP"
"Male_Juvenile" 0.1921863 58 "SP"
"Female_Adult" 0.7067323 59 "SP"
"Male_Adult" 0.747673 59 "SP"
"Female_Juvenile" 0.15899 59 "SP"
"Male_Juvenile" 0.2343593 59 "SP"
"Female_Adult" 0.7046318 60 "SP"
"Male_Adult" 0.6523934 60 "SP"
"Female_Juvenile" 0.1342286 60 "SP"
"Male_Juvenile" 0.2407839 60 "SP"
"Female_Adult" 0.6830542 61 "SP"
"Male_Adult" 0.7117994 61 "SP"
"Female_Juvenile" 0.1760774 61 "SP"
"Male_Juvenile" 0.2303766 61 "SP"
"Female_Adult" 0.7078652 62 "SP"
"Male_Adult" 0.6964441 62 "SP"
"Female_Juvenile" 0.1184859 62 "SP"
"Male_Juvenile" 0.2370683 62 "SP"
"Female_Adult" 0.6593265 63 "SP"
"Male_Adult" 0.6959392 63 "SP"
"Female_Juvenile" 0.1259865 63 "SP"
"Male_Juvenile" 0.1698321 63 "SP"
"Female_Adult" 0.7000209 64 "SP"
"Male_Adult" 0.6584411 64 "SP"
"Female_Juvenile" 0.162346 64 "SP"
"Male_Juvenile" 0.2033559 64 "SP"
"Female_Adult" 0.6437237 65 "SP"
"Male_Adult" 0.7461157 65 "SP"
"Female_Juvenile" 0.1929387 65 "SP"
"Male_Juvenile" 0.2260755 65 "SP"
"Female_Adult" 0.6441684 66 "SP"
"Male_Adult" 0.6550697 66 "SP"
"Female_Juvenile" 0.1628149 66 "SP"
"Male_Juvenile" 0.2338354 66 "SP"
"Female_Adult" 0.6768882 67 "SP"
"Male_Adult" 0.7280378 67 "SP"
"Female_Juvenile" 0.183581 67 "SP"
"Male_Juvenile" 0.2145074 67 "SP"
"Female_Adult" 0.7223389 68 "SP"
"Male_Adult" 0.7470684 68 "SP"
"Female_Juvenile" 0.1344833 68 "SP"
"Male_Juvenile" 0.2097878 68 "SP"
"Female_Adult" 0.6531273 69 "SP"
"Male_Adult" 0.7124895 69 "SP"
"Female_Juvenile" 0.1489729 69 "SP"
"Male_Juvenile" 0.1917817 69 "SP"
"Female_Adult" 0.6980951 70 "SP"
"Male_Adult" 0.7115926 70 "SP"
"Female_Juvenile" 0.1576125 70 "SP"
"Male_Juvenile" 0.2249954 70 "SP"
"Female_Adult" 0.6948655 71 "SP"
"Male_Adult" 0.7248428 71 "SP"
"Female_Juvenile" 0.1543922 71 "SP"
"Male_Juvenile" 0.1787994 71 "SP"
"Female_Adult" 0.6774197 72 "SP"
"Male_Adult" 0.6852235 72 "SP"
"Female_Juvenile" 0.1586898 72 "SP"
"Male_Juvenile" 0.1986372 72 "SP"
