year,site,nest,ID,ring,age_sex,date,time,weight,bill,left_tarsus,right_tarsus,left_wing,right_wing,fat,blood,blood_tube,code,moult ,observer,comments,ages,zones,species,blood_bath,blood_madagascar,feather,slides,feacal
2006,D,10,2006_D_10,802109790,AM,529,1899-12-31 21:25:00,42.75,,25.8,25.8,108,109,2,1,,WX.BX|GX.RM,,CK,,,,,,,,,
2006,A,5,2006_A_5,CA028,JM,530,1899-12-31 17:30:00,5.8,,17.2,17.1,,,,1,,MX.XX|YX.XX,,CK,,,,,,,,,
2006,C,6,2006_C_6,802109793,AM,530,1899-12-31 21:30:00,45.5,,26.1,26.2,112,113,3,1,,WX.BX|sX.RM,,CK,,,,,,,,,
2006,C,8,2006_C_8,CA029,AM,530,1899-12-31 22:00:00,41.5,,25.4,25.4,111,111,3,1,,RX.MX|OX.OX,,CK,,,,,,,,,
2006,C,9,2006_C_9,CA030,AM,530,1899-12-31 22:30:00,42.25,,24.8,24.8,106,107,1,1,,RX.MX|GX.OX,,CK,,,,,,,,,
2006,E,1,2006_E_1,CA031,AM,530,1899-12-31 23:10:00,37.75,,27.2,27.3,113,113,2,1,,RX.MX|GX.RX,,CK,,,,,,,,,
2006,A,7,2006_A_7,CA032,JF,531,1899-12-31 07:00:00,6.1,,18.3,18.3,,,,1,,MX.XX|SX.XX,,CK,,,,,,,,,
2006,A,7,2006_A_7,CA033,JM,531,1899-12-31 07:00:00,6,,18.1,18.2,,,,1,,MX.XX|SX.XX,,CK,,,,,,,,,
2006,C,10,2006_C_10,CA034,AF,531,1899-12-31 08:15:00,40.5,,25.7,25.8,107,108,0,1,,RX.MX|GX.WX,,CK,,,,,,,,,
2006,E,1,2006_E_1,CA035,AF,531,1899-12-31 09:15:00,37.25,,25.2,25,111,111,0,1,,RX.MX|GX.YX,,CK,,,,,,,,,
2006,C,13,2006_C_13,CA036,AF,531,1899-12-31 10:00:00,40,,24.3,24.1,112,113,0,1,,RX.MX|OX.BX,,CK,,,,,,,,,
2006,A,7,2006_A_7,CA037,JF,531,1899-12-31 11:10:00,6,,16.9,16.9,,,,1,,MX.XX|SX.XX,,CK,,,,,,,,,
2006,D,1,2006_D_1,802122936,JJ,531,1899-12-31 19:45:00,14.25,,22.9,22.9,,,,1,,MX.XX|XX.XX,,CK,,,,,,,,,
2006,D,7,2006_D_7,CA040,AM,531,1899-12-31 20:15:00,41.25,,25.7,25.8,109,109,1,1,,BX.WX|OX.GM,,CK,Rings changed: previously BX.WX|OX.GX,,,,,,,,
2006,D,5,2006_D_5,CA039,AF,601,1899-12-31 10:00:00,39.75,,24.9,24.9,,,,0,,RX.MX|BX.LX,,CK,,,,,,,,,
2006,C,107,2006_C_107,CA038,JF,601,1899-12-31 16:50:00,6.3,,17.2,17.3,,,,1,,MX.XX|GX.XX,,CK,,,,,,,,,
2006,C,107,2006_C_107,CA041,JF,601,1899-12-31 16:50:00,6.1,,17.7,17.7,,,,1,,MX.XX|GX.XX,,CK,,,,,,,,,
