"Sex_Age"	"estimate"	"species"	"iter"
"Male_Juvenile"	0.4309107	"White-fronted"	30
"Female_Chick"	0.443180196792066	"White-fronted"	30
"Male_Chick"	0.514268920466215	"White-fronted"	30
"Female_Adult"	0.9243918	"White-fronted"	31
"Male_Adult"	0.9392448	"White-fronted"	31
"Female_Juvenile"	0.5344112	"White-fronted"	31
"Male_Juvenile"	0.3491476	"White-fronted"	31
"Female_Chick"	0.631250262251958	"White-fronted"	31
"Male_Chick"	0.481141448717554	"White-fronted"	31
"Female_Adult"	0.9387768	"White-fronted"	32
"Male_Adult"	0.984967	"White-fronted"	32
"Female_Juvenile"	0.5242019	"White-fronted"	32
"Male_Juvenile"	0.4847733	"White-fronted"	32
"Female_Chick"	0.365175552591117	"White-fronted"	32
"Male_Chick"	0.382796903763526	"White-fronted"	32
"Female_Adult"	0.894806	"White-fronted"	33
"Male_Adult"	0.919919	"White-fronted"	33
"Female_Juvenile"	0.6377996	"White-fronted"	33
"Male_Juvenile"	0.4664317	"White-fronted"	33
"Female_Chick"	0.398922602500408	"White-fronted"	33
"Male_Chick"	0.330053328668325	"White-fronted"	33
"Female_Adult"	0.9157391	"White-fronted"	34
"Male_Adult"	0.9012732	"White-fronted"	34
"Female_Juvenile"	0.6102233	"White-fronted"	34
"Male_Juvenile"	0.4162973	"White-fronted"	34
"Female_Chick"	0.121255625737605	"White-fronted"	34
"Male_Chick"	0.398400360961125	"White-fronted"	34
"Female_Adult"	0.9485536	"White-fronted"	35
"Male_Adult"	0.9521113	"White-fronted"	35
"Female_Juvenile"	0.6243728	"White-fronted"	35
"Male_Juvenile"	0.3540088	"White-fronted"	35
"Female_Chick"	0.355939049710974	"White-fronted"	35
"Male_Chick"	0.510473343213883	"White-fronted"	35
"Female_Adult"	0.9807882	"White-fronted"	36
"Male_Adult"	0.975575	"White-fronted"	36
"Female_Juvenile"	0.5357822	"White-fronted"	36
"Male_Juvenile"	0.416623	"White-fronted"	36
"Female_Chick"	0.242205700726509	"White-fronted"	36
"Male_Chick"	0.409604970606846	"White-fronted"	36
"Female_Adult"	0.9382525	"White-fronted"	37
"Male_Adult"	0.9851495	"White-fronted"	37
"Female_Juvenile"	0.4771135	"White-fronted"	37
"Male_Juvenile"	0.4476585	"White-fronted"	37
"Female_Chick"	0.548938633537701	"White-fronted"	37
"Male_Chick"	0.670711114600395	"White-fronted"	37
"Female_Adult"	0.9443005	"White-fronted"	38
"Male_Adult"	0.9704125	"White-fronted"	38
"Female_Juvenile"	0.5949322	"White-fronted"	38
"Male_Juvenile"	0.4452633	"White-fronted"	38
"Female_Chick"	0.397208907918091	"White-fronted"	38
"Male_Chick"	0.509982521152865	"White-fronted"	38
"Female_Adult"	0.9536144	"White-fronted"	39
"Male_Adult"	0.9683746	"White-fronted"	39
"Female_Juvenile"	0.5291923	"White-fronted"	39
"Male_Juvenile"	0.4046755	"White-fronted"	39
"Female_Chick"	0.337868074382427	"White-fronted"	39
"Male_Chick"	0.339963137592348	"White-fronted"	39
"Female_Adult"	0.9324028	"White-fronted"	40
"Male_Adult"	0.9539385	"White-fronted"	40
"Female_Juvenile"	0.3835037	"White-fronted"	40
"Male_Juvenile"	0.2775886	"White-fronted"	40
"Female_Chick"	0.346073166441214	"White-fronted"	40
"Male_Chick"	1	"White-fronted"	40
"Female_Adult"	0.9345961	"White-fronted"	41
"Male_Adult"	1	"White-fronted"	41
"Female_Juvenile"	0.5797369	"White-fronted"	41
"Male_Juvenile"	0.4345206	"White-fronted"	41
"Female_Chick"	0.307104400377165	"White-fronted"	41
"Male_Chick"	0.607842213195129	"White-fronted"	41
"Female_Adult"	0.9245319	"White-fronted"	42
"Male_Adult"	0.9143972	"White-fronted"	42
"Female_Juvenile"	0.539976	"White-fronted"	42
"Male_Juvenile"	0.3385747	"White-fronted"	42
"Female_Chick"	0.290797797437563	"White-fronted"	42
"Male_Chick"	0.429386546956778	"White-fronted"	42
"Female_Adult"	0.9483271	"White-fronted"	43
"Male_Adult"	0.9673149	"White-fronted"	43
