"Phi"	"p"	"model"	"npar"	"AICc"	"DeltaAICc"	"weight"	"Deviance"	"species"	"iter"
"~age * sex"	"~time * age * sex"	"Phi(~age * sex)p(~time * age * sex)"	24	4725.40072374101	0	0.999991667950602	304.55679	"Kentish (Tuzla)"	4
"~age * sex"	"~age * time"	"Phi(~age * sex)p(~age * time)"	14	4750.05151649928	24.6507927582743	4.43756519596926e-06	349.43241	"Kentish (Tuzla)"	4
"~age * sex"	"~time + age + sex"	"Phi(~age * sex)p(~time + age + sex)"	11	4750.31358807339	24.9128643323866	3.89257175874661e-06	355.7393	"Kentish (Tuzla)"	4
"~age * sex"	"~age + time"	"Phi(~age * sex)p(~age + time)"	10	4765.90745531671	40.5067315757015	1.59982095044445e-09	373.34584	"Kentish (Tuzla)"	4
"~age * sex"	"~sex * time"	"Phi(~age * sex)p(~sex * time)"	14	4769.70991649928	44.3091927582745	2.38988732079009e-10	369.09083	"Kentish (Tuzla)"	4
"~age * sex"	"~sex + time"	"Phi(~age * sex)p(~sex + time)"	10	4772.06495531671	46.6642315757017	7.36185473476362e-11	379.50334	"Kentish (Tuzla)"	4
"~age * sex"	"~time"	"Phi(~age * sex)p(~time)"	9	4789.17337593123	63.7726521902241	1.4188644586877e-14	398.62323	"Kentish (Tuzla)"	4
"~age * sex"	"~Quadratic * age * sex"	"Phi(~age * sex)p(~Quadratic * age * sex)"	12	4794.07927519358	68.6785514525682	1.22078285397761e-15	397.49118	"Kentish (Tuzla)"	4
"~age * sex"	"~Quadratic + age + sex"	"Phi(~age * sex)p(~Quadratic + age + sex)"	8	4809.79834892581	84.3976251848017	0	421.25855	"Kentish (Tuzla)"	4
"~age * sex"	"~Quadratic * age"	"Phi(~age * sex)p(~Quadratic * age)"	8	4816.13374892581	90.7330251848016	0	427.59395	"Kentish (Tuzla)"	4
"~age * sex"	"~Quadratic + age"	"Phi(~age * sex)p(~Quadratic + age)"	7	4825.16017331042	99.7594495694157	0	438.6295	"Kentish (Tuzla)"	4
"~age * sex"	"~Quadratic + sex"	"Phi(~age * sex)p(~Quadratic + sex)"	7	4829.47507331042	104.074349569416	0	442.94441	"Kentish (Tuzla)"	4
"~age * sex"	"~Quadratic * sex"	"Phi(~age * sex)p(~Quadratic * sex)"	8	4830.65774892581	105.257025184802	0	442.11788	"Kentish (Tuzla)"	4
"~age * sex"	"~Quadratic"	"Phi(~age * sex)p(~Quadratic)"	6	4846.69764809619	121.296924355184	0	462.17498	"Kentish (Tuzla)"	4
"~age * sex"	"~Time * age * sex"	"Phi(~age * sex)p(~Time * age * sex)"	12	4954.14767519358	228.746951452568	0	557.55967	"Kentish (Tuzla)"	4
"~age * sex"	"~age * Time"	"Phi(~age * sex)p(~age * Time)"	8	4976.60934892581	251.208625184802	0	588.06956	"Kentish (Tuzla)"	4
"~age * sex"	"~Time + age + sex"	"Phi(~age * sex)p(~Time + age + sex)"	8	4985.22004892581	259.819325184802	0	596.68022	"Kentish (Tuzla)"	4
"~age * sex"	"~sex + Time"	"Phi(~age * sex)p(~sex + Time)"	7	4996.92487331042	271.524149569415	0	610.39422	"Kentish (Tuzla)"	4
"~age * sex"	"~sex * Time"	"Phi(~age * sex)p(~sex * Time)"	8	4997.75894892581	272.358225184802	0	609.21917	"Kentish (Tuzla)"	4
"~age * sex"	"~age + Time"	"Phi(~age * sex)p(~age + Time)"	7	4998.65457331042	273.253849569416	0	612.1239	"Kentish (Tuzla)"	4
"~age * sex"	"~Time"	"Phi(~age * sex)p(~Time)"	6	5011.97924809619	286.578524355185	0	627.45663	"Kentish (Tuzla)"	4
"~age * sex"	"~age * sex"	"Phi(~age * sex)p(~age * sex)"	8	5573.16284892581	847.762125184802	0	1184.623	"Kentish (Tuzla)"	4
"~age * sex"	"~age + sex"	"Phi(~age * sex)p(~age + sex)"	7	5574.08567331042	848.684949569416	0	1187.555	"Kentish (Tuzla)"	4
"~age * sex"	"~sex"	"Phi(~age * sex)p(~sex)"	6	5576.24574809619	850.845024355184	0	1191.7231	"Kentish (Tuzla)"	4
"~age * sex"	"~age"	"Phi(~age * sex)p(~age)"	6	5578.10564809619	852.704924355185	0	1193.583	"Kentish (Tuzla)"	4
"~age * sex"	"~1"	"Phi(~age * sex)p(~1)"	5	5580.51417229536	855.113448554356	0	1197.9984	"Kentish (Tuzla)"	4
"~age * sex"	"~time * age * sex"	"Phi(~age * sex)p(~time * age * sex)"	24	4812.83368296782	0	0.912123033880948	311.97072	"Kentish (Tuzla)"	5
