"Phi"	"p"	"model"	"npar"	"AICc"	"DeltaAICc"	"weight"	"Deviance"	"species"	"iter"
"~age * sex"	"~age"	"Phi(~age * sex)p(~age)"	6	610.562370733945	57.6192724058693	2.65090249809597e-13	235.73526	"Madagascar"	3
"~age * sex"	"~age * sex"	"Phi(~age * sex)p(~age * sex)"	8	611.510026923077	58.5669285950013	1.65048973468291e-13	232.49672	"Madagascar"	3
"~age * sex"	"~sex * time"	"Phi(~age * sex)p(~sex * time)"	16	549.997704848485	0	0.990621810428315	134.8289	"Madagascar"	4
"~age * sex"	"~Quadratic * age * sex"	"Phi(~age * sex)p(~Quadratic * age * sex)"	12	561.904001736527	11.9062968880422	0.00257328783183398	155.44956	"Madagascar"	4
"~age * sex"	"~time + age + sex"	"Phi(~age * sex)p(~time + age + sex)"	12	562.190731736527	12.1930268880423	0.00222959374842625	155.73629	"Madagascar"	4
"~age * sex"	"~sex + time"	"Phi(~age * sex)p(~sex + time)"	11	563.051079701493	13.0533748530078	0.00145011869369016	158.7427	"Madagascar"	4
"~age * sex"	"~Quadratic + age + sex"	"Phi(~age * sex)p(~Quadratic + age + sex)"	8	563.812855502959	13.8151506544738	0.000990800090592419	165.8665	"Madagascar"	4
"~age * sex"	"~Quadratic + sex"	"Phi(~age * sex)p(~Quadratic + sex)"	7	563.932093480826	13.9343886323412	0.000933455974502138	168.0814	"Madagascar"	4
"~age * sex"	"~Quadratic * sex"	"Phi(~age * sex)p(~Quadratic * sex)"	8	565.130385502959	15.1326806544738	0.000512729178720136	167.18403	"Madagascar"	4
"~age * sex"	"~time * age * sex"	"Phi(~age * sex)p(~time * age * sex)"	28	566.186188238994	16.1884833905088	0.000302428964268939	123.55895	"Madagascar"	4
"~age * sex"	"~Time * age * sex"	"Phi(~age * sex)p(~Time * age * sex)"	12	567.562211736527	17.5645068880422	0.000151993031175344	161.10776	"Madagascar"	4
