"Phi"	"p"	"model"	"npar"	"AICc"	"DeltaAICc"	"weight"	"Deviance"	"species"	"iter"
"~age * sex"	"~age + Time"	"Phi(~age * sex)p(~age + Time)"	7	3500.96384232969	222.427851753777	0	1234.2316	"Kentish (Maio)"	3
"~age * sex"	"~Time + age + sex"	"Phi(~age * sex)p(~Time + age + sex)"	8	3502.1719219563	223.63593138038	0	1233.423	"Kentish (Maio)"	3
"~age * sex"	"~Quadratic * sex"	"Phi(~age * sex)p(~Quadratic * sex)"	8	3503.5711219563	225.035131380379	0	1234.8222	"Kentish (Maio)"	3
"~age * sex"	"~Quadratic"	"Phi(~age * sex)p(~Quadratic)"	6	3505.24045904366	226.704468467743	0	1240.5228	"Kentish (Maio)"	3
"~age * sex"	"~Quadratic + sex"	"Phi(~age * sex)p(~Quadratic + sex)"	7	3506.58354232969	228.047551753777	0	1239.8513	"Kentish (Maio)"	3
"~age * sex"	"~age * sex"	"Phi(~age * sex)p(~age * sex)"	8	3513.9642219563	235.428231380379	0	1245.2153	"Kentish (Maio)"	3
"~age * sex"	"~age"	"Phi(~age * sex)p(~age)"	6	3518.02625904366	239.490268467743	0	1253.3086	"Kentish (Maio)"	3
"~age * sex"	"~age + sex"	"Phi(~age * sex)p(~age + sex)"	7	3519.30434232969	240.768351753777	0	1252.5721	"Kentish (Maio)"	3
"~age * sex"	"~Time"	"Phi(~age * sex)p(~Time)"	6	3522.34465904366	243.808668467743	0	1257.627	"Kentish (Maio)"	3
"~age * sex"	"~sex * Time"	"Phi(~age * sex)p(~sex * Time)"	8	3522.7021219563	244.166131380379	0	1253.9532	"Kentish (Maio)"	3
"~age * sex"	"~sex + Time"	"Phi(~age * sex)p(~sex + Time)"	7	3523.51224232969	244.976251753777	0	1256.78	"Kentish (Maio)"	3
"~age * sex"	"~1"	"Phi(~age * sex)p(~1)"	5	3554.30236883117	275.766378255253	0	1291.5972	"Kentish (Maio)"	3
"~age * sex"	"~sex"	"Phi(~age * sex)p(~sex)"	6	3555.58445904366	277.048468467743	0	1290.8668	"Kentish (Maio)"	3
"~age * sex"	"~age * time"	"Phi(~age * sex)p(~age * time)"	20	3118.19975583647	0	0.998893339163019	954.31114	"Kentish (Maio)"	4
"~age * sex"	"~time * age * sex"	"Phi(~age * sex)p(~time * age * sex)"	36	3131.81036934346	13.6106135069908	0.00110665422513421	934.92816	"Kentish (Maio)"	4
"~age * sex"	"~age + time"	"Phi(~age * sex)p(~age + time)"	13	3156.54196966774	38.3422138312676	4.71642759552015e-09	1006.9102	"Kentish (Maio)"	4
"~age * sex"	"~time + age + sex"	"Phi(~age * sex)p(~time + age + sex)"	14	3158.36520107239	40.1654452359148	1.89541146208102e-09	1006.7032	"Kentish (Maio)"	4
"~age * sex"	"~time"	"Phi(~age * sex)p(~time)"	12	3183.99611301553	65.7963571790619	5.1525437859198e-15	1036.3922	"Kentish (Maio)"	4
"~age * sex"	"~sex + time"	"Phi(~age * sex)p(~sex + time)"	13	3185.67526966774	67.4755138312676	2.22534554712485e-15	1036.0434	"Kentish (Maio)"	4
"~age * sex"	"~sex * time"	"Phi(~age * sex)p(~sex * time)"	20	3190.54065583647	72.3409000000001	0	1026.652	"Kentish (Maio)"	4
"~age * sex"	"~Quadratic * age"	"Phi(~age * sex)p(~Quadratic * age)"	8	3302.01906419027	183.819308353802	0	1162.5053	"Kentish (Maio)"	4
"~age * sex"	"~Quadratic * age * sex"	"Phi(~age * sex)p(~Quadratic * age * sex)"	12	3304.91501301553	186.715257179062	0	1157.3111	"Kentish (Maio)"	4
"~age * sex"	"~age * Time"	"Phi(~age * sex)p(~age * Time)"	8	3326.03456419027	207.834808353802	0	1186.5208	"Kentish (Maio)"	4
"~age * sex"	"~Time * age * sex"	"Phi(~age * sex)p(~Time * age * sex)"	12	3328.32561301553	210.125857179062	0	1180.7218	"Kentish (Maio)"	4
"~age * sex"	"~Quadratic + age"	"Phi(~age * sex)p(~Quadratic + age)"	7	3340.52952905983	222.329773223358	0	1203.0329	"Kentish (Maio)"	4
"~age * sex"	"~Quadratic + age + sex"	"Phi(~age * sex)p(~Quadratic + age + sex)"	8	3341.75696419027	223.557208353801	0	1202.2433	"Kentish (Maio)"	4
"~age * sex"	"~Quadratic"	"Phi(~age * sex)p(~Quadratic)"	6	3352.98344783769	234.783692001222	0	1217.5019	"Kentish (Maio)"	4
