"bird_ID" "ch" "sex" "age" "population"
"bird_1077" "0000100" "M" "J" "SP"
"bird_1078" "0000110" "M" "J" "SP"
"bird_1079" "0000101" "M" "J" "SP"
"bird_1082" "0000100" "F" "J" "SP"
"bird_1088" "0000100" "F" "J" "SP"
"bird_1099" "0000100" "M" "J" "SP"
"bird_1102" "0000100" "F" "J" "SP"
"bird_1107" "0000110" "F" "J" "SP"
"bird_1109" "0000100" "F" "J" "SP"
"bird_1110" "0000100" "M" "J" "SP"
"bird_1113" "0000100" "F" "J" "SP"
"bird_1114" "0000100" "F" "J" "SP"
"bird_1115" "0000100" "F" "J" "SP"
"bird_1116" "0000100" "M" "J" "SP"
"bird_1121" "0000100" "F" "J" "SP"
"bird_1123" "0000100" "M" "J" "SP"
"bird_1133" "0000100" "M" "J" "SP"
"bird_1134" "0000100" "F" "J" "SP"
"bird_1135" "0000100" "F" "J" "SP"
"bird_1139" "0000100" "F" "J" "SP"
"bird_1140" "0000100" "M" "J" "SP"
"bird_1141" "0000100" "F" "J" "SP"
"bird_1143" "0000100" "F" "J" "SP"
"bird_1144" "0000100" "M" "J" "SP"
"bird_1145" "0000100" "M" "J" "SP"
"bird_1148" "0000100" "F" "J" "SP"
"bird_1149" "0000100" "F" "J" "SP"
"bird_1152" "0000100" "F" "J" "SP"
"bird_1191" "0000100" "F" "J" "SP"
"bird_1192" "0000100" "F" "J" "SP"
"bird_1200" "0000100" "M" "J" "SP"
"bird_1201" "0000100" "M" "J" "SP"
"bird_1204" "0000100" "F" "J" "SP"
"bird_1206" "0000100" "F" "J" "SP"
"bird_1209" "0000100" "M" "J" "SP"
"bird_1210" "0000110" "F" "J" "SP"
"bird_1215" "0000100" "M" "J" "SP"
"bird_1217" "0000100" "F" "J" "SP"
"bird_1221" "0000100" "F" "J" "SP"
"bird_1225" "0000100" "F" "J" "SP"
"bird_1228" "0000100" "F" "J" "SP"
"bird_1232" "0000100" "F" "J" "SP"
"bird_1233" "0000100" "F" "J" "SP"
"bird_1234" "0000100" "M" "J" "SP"
"bird_1238" "0000100" "F" "J" "SP"
"bird_1239" "0000100" "F" "J" "SP"
"bird_1240" "0000100" "F" "J" "SP"
"bird_1241" "0000100" "F" "J" "SP"
"bird_1242" "0000100" "M" "J" "SP"
"bird_1246" "0000100" "M" "J" "SP"
"bird_1260" "0000100" "M" "J" "SP"
"bird_1262" "0000100" "M" "J" "SP"
"bird_1276" "0000100" "M" "J" "SP"
"bird_1277" "0000100" "F" "J" "SP"
"bird_1278" "0000100" "F" "J" "SP"
"bird_1280" "0000100" "F" "J" "SP"
"bird_1284" "0000100" "F" "J" "SP"
"bird_1286" "0000100" "F" "J" "SP"
"bird_1287" "0000100" "M" "J" "SP"
"bird_1288" "0000100" "F" "J" "SP"
"bird_1290" "0000100" "F" "J" "SP"
"bird_1292" "0000100" "F" "J" "SP"
"bird_1297" "0000100" "F" "J" "SP"
"bird_1300" "0000100" "F" "J" "SP"
"bird_1304" "0000100" "M" "J" "SP"
"bird_1307" "0000100" "M" "J" "SP"
"bird_1309" "0000100" "M" "J" "SP"
"bird_1315" "0000100" "F" "J" "SP"
"bird_1318" "0000100" "M" "J" "SP"
"bird_1319" "0000111" "M" "J" "SP"
"bird_1321" "0000100" "M" "J" "SP"
"bird_1162" "0000010" "F" "J" "SP"
"bird_1165" "0000010" "M" "J" "SP"
"bird_1166" "0000010" "F" "J" "SP"
"bird_1171" "0000010" "M" "J" "SP"
"bird_1173" "0000010" "M" "J" "SP"
"bird_1322" "0000010" "F" "J" "SP"
"bird_1323" "0000011" "F" "J" "SP"
"bird_1324" "0000010" "F" "J" "SP"
"bird_1174" "0000010" "F" "J" "SP"
"bird_1175" "0000010" "F" "J" "SP"
"bird_1176" "0000010" "M" "J" "SP"
"bird_1177" "0000010" "F" "J" "SP"
"bird_1179" "0000010" "M" "J" "SP"
"bird_1181" "0000010" "M" "J" "SP"
"bird_1184" "0000010" "F" "J" "SP"
"bird_1185" "0000010" "M" "J" "SP"
"bird_1186" "0000010" "M" "J" "SP"
"bird_1327" "0000010" "M" "J" "SP"
"bird_1187" "0000010" "F" "J" "SP"
"bird_1329" "0000010" "F" "J" "SP"
"bird_1330" "0000010" "M" "J" "SP"
"bird_1331" "0000010" "M" "J" "SP"
"bird_1188" "0000011" "M" "J" "SP"
"bird_1333" "0000011" "M" "J" "SP"
"bird_1744" "0000011" "F" "J" "SP"
"bird_1337" "0000010" "M" "J" "SP"
"bird_1747" "0000010" "F" "J" "SP"
"bird_1750" "0000010" "M" "J" "SP"
"bird_1751" "0000010" "F" "J" "SP"
"bird_1341" "0000011" "F" "J" "SP"
"bird_1343" "0000010" "F" "J" "SP"
"bird_1346" "0000010" "F" "J" "SP"
"bird_1347" "0000010" "F" "J" "SP"
"bird_1349" "0000010" "M" "J" "SP"
"bird_1350" "0000010" "F" "J" "SP"
"bird_1351" "0000010" "M" "J" "SP"
"bird_1353" "0000010" "F" "J" "SP"
"bird_1364" "0000010" "F" "J" "SP"
"bird_1365" "0000010" "M" "J" "SP"
"bird_1367" "0000010" "M" "J" "SP"
"bird_1761" "0000011" "F" "J" "SP"
"bird_1762" "0000010" "F" "J" "SP"
"bird_1764" "0000010" "F" "J" "SP"
"bird_1768" "0000010" "F" "J" "SP"
"bird_1769" "0000010" "M" "J" "SP"
