"ch"	"Ring"	"Year"	"Hatch_Date_simp"	"Day_of_Season"	"Sex"	"ID"	"Hatch_brood_size"
"0010000001000000010000.1000"	"DJ32378"	"1999"	603	49	"M"	"1999_B2_301"	""
"10000000000000000000.000000"	"DJ32379"	"1999"	605	51	"F"	"1999_B2_301"	""
"000100000000000000000000.00"	"DJ32380"	"1999"	602	48	"F"	"1999_C2_135"	""
"1000000000000000000.0000000"	"DJ32381"	"1999"	606	52	"F"	"1999_B2_19"	""
"1000000000000000000.0000000"	"DJ32382"	"1999"	606	52	"M"	"1999_B2_19"	""
"001000000000000000000.00000"	"DJ32383"	"1999"	604	50	"F"	"1999_B2_26"	"2"
"001000000000000000000.00000"	"DJ32384"	"1999"	604	50	"F"	"1999_B2_26"	"2"
"1000000000000000000.0000000"	"DJ32386"	"1999"	606	52	"M"	"1999_B1_53"	""
"0000010000000000000000000.0"	"DJ32387"	"1999"	601	47	"F"	"1999_C2_135"	""
"0001000000000000000000.0000"	"DJ32388"	"1999"	603	49	"M"	"1999_B2_-3"	NA
"000001000000000000000000.00"	"DJ32389"	"1999"	601	47	"M"	"1999_B2_-3"	NA
"0000001000000000000000000.0"	"DJ32390"	"1999"	531	46	"M"	"1999_B2_-3"	NA
"0100000010000000100.0000100"	"DJ32391"	"1999"	606	52	"F"	"1999_B1_151"	""
"100000000000000000.0000000."	"DJ32392"	"1999"	607	53	"M"	"1999_B1_151"	""
"100000000000000000.0000000."	"DJ32394"	"1999"	607	53	"F"	"1999_B1_151"	""
"00100000000000000000.000000"	"DJ32395"	"1999"	605	51	"F"	"1999_B1_53"	""
"100000000000000000.0000000."	"DJ32396"	"1999"	607	53	"F"	"1999_B1_53"	""
"0000100000000000000000.0000"	"DJ32399"	"1999"	604	50	"F"	"1999_C3_22"	""
"0100000000000000000.0000000"	"DJ32400"	"1999"	607	53	"F"	"1999_C3_22"	""
"00000100000001000000100.001"	"DJ32401"	"1999"	603	49	"F"	"1999_C3_22"	""
"0100000000000000000.0000000"	"DJ32402"	"1999"	607	53	"M"	"1999_C2_135"	""
"1000000000000000.0000000.0."	"DJ32405"	"1999"	609	55	"M"	"1999_B1_71"	""
"10000010000000.0000000.0.00"	"DJ32407"	"1999"	611	57	"F"	"1999_B1_71"	""
"10000000000000.0000000.0.00"	"DJ32408"	"1999"	611	57	"F"	"1999_B1_71"	""
"00001000000000000.0000000.0"	"DJ32409"	"1999"	608	54	"M"	"1999_B2_-4"	NA
"001000000000000.0000000.0.0"	"DJ32410"	"1999"	610	56	"M"	"1999_B2_-4"	NA
"00001000000000000.0000000.0"	"DJ32411"	"1999"	608	54	"M"	"1999_B2_-4"	NA
"000001000000010000.0010000."	"DJ32412"	"1999"	608	54	"F"	"1999_C2_136"	""
"1000000000000.0010001.0000."	"DJ32413"	"1999"	613	59	"M"	"1999_C2_136"	""
"0100000010000.0010000.0000."	"DJ32414"	"1999"	613	59	"M"	"1999_C2_136"	""
"100000000000.0000000.0000.."	"DJ32416"	"1999"	614	60	"M"	"1999_C2_211"	"-1"
"0100000000000.0000000.0000."	"DJ32417"	"1999"	613	59	"F"	"1999_C2_211"	"-1"
"010000000000.0000000.0.000."	"DJ32419"	"1999"	613	59	"F"	"1999_B1_-1"	NA
"0010000000000.0000000.0.000"	"DJ32420"	"1999"	612	58	"M"	"1999_B1_-1"	NA
"0010000000000.0000000.0.000"	"DJ32421"	"1999"	612	58	"M"	"1999_B1_-1"	NA
"1000000000.0000000.0.000..."	"DJ32422"	"1999"	615	61	"M"	"1999_B2_25"	"2"
"0001000010000.1000000.0.100"	"DJ32424"	"1999"	612	58	"M"	"1999_B3_33"	"2"
"10000000000.0000000.0000..."	"DJ32426"	"1999"	615	61	"M"	"1999_C2_211"	"-1"
"0010000000000.0000000.0000."	"DJ32427"	"1999"	613	59	"F"	"1999_C2_138"	""
"0000010000000100.0000000.00"	"DJ32428"	"1999"	610	56	"F"	"1999_C2_138"	""
"0010000000100.1000001.0000."	"DJ32429"	"1999"	613	59	"M"	"1999_C2_138"	""
"1000000000.0000000.0.000..."	"DJ32430"	"1999"	615	61	"F"	"1999_B2_25"	"2"
"01000010000.0000000.0.100.."	"DJ32432"	"1999"	614	60	"F"	"1999_B3_33"	"2"
"1000010000.0000000.0.000..."	"DJ32433"	"1999"	615	61	"M"	"1999_B3_-2"	NA
"100000000.0000000.0.000...."	"DJ32435"	"1999"	616	62	"M"	"1999_B1_67"	""
"100000000.0000000.0.000...."	"DJ32436"	"1999"	616	62	"M"	"1999_B1_67"	""
"0100000000.0000000.0.000..."	"DJ32437"	"1999"	615	61	"F"	"1999_B1_67"	""
"00001000000000.0000000.0000"	"DJ32439"	"1999"	612	58	"M"	"1999_C2_-1"	NA
"001000000000.0000000.0000.."	"DJ32440"	"1999"	614	60	"F"	"1999_C2_-1"	NA
"001000000000.0000000.0000.."	"DJ32441"	"1999"	614	60	"F"	"1999_C2_-1"	NA
"10000000.0000000.0000......"	"DJ32443"	"1999"	618	64	"F"	"1999_C3_23"	""
"000001000000.1000000.0100.."	"DJ32445"	"1999"	614	60	"F"	"1999_C2_137"	""
"0000001000000.1000000.0100."	"DJ32446"	"1999"	613	59	"F"	"1999_C2_137"	""
"000000001000000.1000000.010"	"DJ32447"	"1999"	611	57	"F"	"1999_C2_137"	""
"0001000000.0000000.0000...."	"DJ32448"	"1999"	616	62	"F"	"1999_C2_139"	""
"01000000.0000000.0000......"	"DJ32449"	"1999"	618	64	"F"	"1999_C2_139"	""
"0001000000.0000000.0000...."	"DJ32450"	"1999"	616	62	"M"	"1999_C2_139"	""
"0010000.0000000.0.000......"	"DJ32451"	"1999"	618	64	"F"	"1999_B1_160"	""
"010000.0000000.0.000......."	"DJ32452"	"1999"	619	65	"F"	"1999_B1_160"	""
"0010000.0000000.0.000......"	"DJ32453"	"1999"	618	64	"F"	"1999_B1_160"	""
"00010000.0000000.0000......"	"DJ32454"	"1999"	618	64	"M"	"1999_C3_27"	""
"00010000.0000000.0000......"	"DJ32455"	"1999"	618	64	"M"	"1999_C3_27"	""
"0..0.0.1.0..0.............."	"DJ32456"	"1999"	614	60	"F"	"1999_D2_-1"	NA
"0..0.0.1.0..0.............."	"DJ32457"	"1999"	614	60	"M"	"1999_D2_-1"	NA
"..0.0.1.0..0..............."	"DJ32458"	"1999"	615	61	"F"	"1999_D2_-1"	NA
"001000.0000000.0000........"	"DJ32459"	"1999"	620	66	"F"	"1999_C3_27"	""
"0100.0000000.0000.........."	"DJ32460"	"1999"	622	68	"F"	"1999_C2_220"	"-1"
"100.0000000.0000..........."	"DJ32461"	"1999"	623	69	"F"	"1999_C2_220"	"-1"
"100.0000000.0000..........."	"DJ32462"	"1999"	623	69	"M"	"1999_C2_220"	"-1"
"100.0000000.0000..........."	"DJ32463"	"1999"	623	69	"F"	"1999_C2_226"	"-1"
"100.0000000.0000..........."	"DJ32464"	"1999"	623	69	"M"	"1999_C2_226"	"-1"
