"ch"	"Ring"	"Species"	"Year"	"Hatch_Date_simp"	"Day_of_Season"	"Sex"	"ID"	"Hatch_brood_size"
"000000000000011000000000000000000.0."	"FH72253"	"MP"	"2013"	423	73	"M"	"MP_2013_-103"	NA
"0000000000011000000000000000000.0..."	"FH72254"	"MP"	"2013"	425	75	"M"	"MP_2013_-103"	NA
"0000010000000000000000000.0...000000"	"FH72262"	"MP"	"2013"	501	81	"M"	"MP_2013_-104"	NA
"0000010000000000000000000.0...000000"	"FH72263"	"MP"	"2013"	501	81	"F"	"MP_2013_-104"	NA
"100000000001000000000..............."	"FH72368"	"MP"	"2013"	601	112	"M"	"MP_2013_42"	NA
"100000000000000000.................."	"FH72403"	"MP"	"2013"	604	115	"M"	"MP_2013_44"	2
"100000000000000000.................."	"FH72404"	"MP"	"2013"	604	115	"F"	"MP_2013_44"	2
"1000000000.........................."	"FH72446"	"MP"	"2013"	612	123	"M"	"MP_2013_-2"	NA
"............................00100000"	"FH72506"	"MP"	"2014"	209	0	"F"	"MP_2014_-101"	NA
"00010000000100.000000000000000000000"	"FH72509"	"MP"	"2014"	309	28	"M"	"MP_2014_-102"	NA
"10000000100.000000000000000000000000"	"FH72511"	"MP"	"2014"	312	31	"F"	"MP_2014_-102"	NA
".........00000000010010.000000000000"	"FH72527"	"MP"	"2014"	228	19	"M"	"MP_2014_-103"	NA
"10000000001000000000000.0000000000.0"	"FH72557"	"MP"	"2014"	328	47	"M"	"MP_2014_105"	1
"0000.000000000000001000100000000.100"	"FH72595"	"MP"	"2014"	319	38	"M"	"MP_2014_-104"	NA
".....................00000010001000."	"FH72614"	"MP"	"2014"	216	7	"F"	"MP_2014_-201"	NA
"........................000000100000"	"FH72615"	"MP"	"2014"	213	4	"F"	"MP_2014_-201"	NA
"..............00000000001000.0000000"	"FH72634"	"MP"	"2014"	223	14	"M"	"MP_2014_-301"	NA
"............00000000001000.000000000"	"FH72635"	"MP"	"2014"	225	16	"F"	"MP_2014_-301"	NA
"1000010001101.00000001100000..0000.0"	"FH72683"	"MP"	"2015"	406	56	"F"	"MP_2015_400"	2
"101000000000.00000000000000..0000.00"	"FH72684"	"MP"	"2015"	407	57	"M"	"MP_2015_301"	2
"1000000000.00000000000000..0000.0000"	"FH72690"	"MP"	"2015"	409	59	"M"	"MP_2015_301"	2
"0000000.010000000000000000000000000."	"FH72707"	"MP"	"2014"	316	35	"M"	"MP_2014_-302"	NA
"00000000000.010000000000000000000000"	"FH72708"	"MP"	"2014"	312	31	"M"	"MP_2014_-302"	NA
"00010000000000000.0000000000.00.0.00"	"FH72757"	"MP"	"2014"	403	53	"M"	"MP_2014_-303"	NA
"0010000000000000.0000000000.00.0.000"	"FH72758"	"MP"	"2014"	404	54	"F"	"MP_2014_-303"	NA
"....00000000000000.00000000000000100"	"FH72763"	"MP"	"2014"	305	24	"M"	"MP_2014_-304"	NA
"0000000000000.0000000000000010000000"	"FH72764"	"MP"	"2014"	310	29	"F"	"MP_2014_-304"	NA
"000.00.0.0000..00010.000000..000.10."	"FH72792"	"MP"	"2014"	428	78	"F"	"MP_2014_302"	NA
