"bird_ID" "ch" "sex" "age" "population"
"bird_806" "0001000" "F" "J" "SP"
"bird_810" "0001100" "M" "J" "SP"
"bird_811" "0001000" "M" "J" "SP"
"bird_812" "0001010" "M" "J" "SP"
"bird_815" "0001000" "M" "J" "SP"
"bird_816" "0001000" "M" "J" "SP"
"bird_832" "0001100" "M" "J" "SP"
"bird_833" "0001000" "M" "J" "SP"
"bird_790" "0000100" "F" "J" "SP"
"bird_791" "0000100" "F" "J" "SP"
"bird_793" "0000100" "M" "J" "SP"
"bird_796" "0000100" "F" "J" "SP"
"bird_798" "0000100" "F" "J" "SP"
"bird_818" "0000100" "M" "J" "SP"
"bird_819" "0000110" "M" "J" "SP"
"bird_820" "0000101" "M" "J" "SP"
"bird_823" "0000100" "F" "J" "SP"
"bird_829" "0000100" "F" "J" "SP"
"bird_840" "0000100" "M" "J" "SP"
"bird_843" "0000100" "F" "J" "SP"
"bird_848" "0000110" "F" "J" "SP"
"bird_850" "0000100" "F" "J" "SP"
"bird_851" "0000100" "M" "J" "SP"
"bird_854" "0000100" "F" "J" "SP"
"bird_855" "0000100" "F" "J" "SP"
"bird_856" "0000100" "F" "J" "SP"
"bird_857" "0000100" "M" "J" "SP"
"bird_862" "0000100" "F" "J" "SP"
"bird_864" "0000100" "M" "J" "SP"
"bird_874" "0000100" "M" "J" "SP"
"bird_875" "0000100" "F" "J" "SP"
"bird_876" "0000100" "F" "J" "SP"
"bird_880" "0000100" "F" "J" "SP"
"bird_881" "0000100" "M" "J" "SP"
"bird_882" "0000100" "F" "J" "SP"
"bird_884" "0000100" "F" "J" "SP"
"bird_885" "0000100" "M" "J" "SP"
"bird_886" "0000100" "M" "J" "SP"
"bird_889" "0000100" "F" "J" "SP"
"bird_890" "0000100" "F" "J" "SP"
"bird_893" "0000100" "F" "J" "SP"
"bird_932" "0000100" "F" "J" "SP"
"bird_933" "0000100" "F" "J" "SP"
"bird_941" "0000100" "M" "J" "SP"
"bird_942" "0000100" "M" "J" "SP"
"bird_945" "0000100" "F" "J" "SP"
"bird_947" "0000100" "F" "J" "SP"
"bird_950" "0000100" "M" "J" "SP"
"bird_951" "0000110" "F" "J" "SP"
"bird_956" "0000100" "M" "J" "SP"
"bird_958" "0000100" "F" "J" "SP"
"bird_962" "0000100" "F" "J" "SP"
"bird_966" "0000100" "F" "J" "SP"
"bird_969" "0000100" "F" "J" "SP"
"bird_973" "0000100" "F" "J" "SP"
"bird_974" "0000100" "F" "J" "SP"
"bird_975" "0000100" "M" "J" "SP"
"bird_979" "0000100" "F" "J" "SP"
"bird_980" "0000100" "F" "J" "SP"
"bird_981" "0000100" "F" "J" "SP"
"bird_982" "0000100" "F" "J" "SP"
"bird_983" "0000100" "M" "J" "SP"
"bird_987" "0000100" "M" "J" "SP"
"bird_1001" "0000100" "M" "J" "SP"
"bird_1003" "0000100" "M" "J" "SP"
"bird_1017" "0000100" "M" "J" "SP"
"bird_1018" "0000100" "F" "J" "SP"
"bird_1019" "0000100" "F" "J" "SP"
"bird_1021" "0000100" "F" "J" "SP"
"bird_1025" "0000100" "F" "J" "SP"
"bird_1027" "0000100" "F" "J" "SP"
"bird_1028" "0000100" "M" "J" "SP"
"bird_1029" "0000100" "F" "J" "SP"
"bird_1031" "0000100" "F" "J" "SP"
"bird_1033" "0000100" "F" "J" "SP"
"bird_1038" "0000100" "F" "J" "SP"
"bird_1041" "0000100" "F" "J" "SP"
"bird_1045" "0000100" "M" "J" "SP"
"bird_1048" "0000100" "M" "J" "SP"
"bird_1050" "0000100" "M" "J" "SP"
"bird_1056" "0000100" "F" "J" "SP"
"bird_1059" "0000100" "M" "J" "SP"
"bird_1060" "0000111" "M" "J" "SP"
"bird_1062" "0000100" "M" "J" "SP"
"bird_903" "0000010" "F" "J" "SP"
"bird_906" "0000010" "M" "J" "SP"
"bird_907" "0000010" "F" "J" "SP"
"bird_912" "0000010" "M" "J" "SP"
"bird_914" "0000010" "M" "J" "SP"
"bird_1063" "0000010" "F" "J" "SP"
"bird_1064" "0000011" "F" "J" "SP"
"bird_1065" "0000010" "F" "J" "SP"
"bird_915" "0000010" "F" "J" "SP"
"bird_916" "0000010" "F" "J" "SP"
"bird_917" "0000010" "M" "J" "SP"
"bird_918" "0000010" "F" "J" "SP"
"bird_920" "0000010" "M" "J" "SP"
"bird_922" "0000010" "M" "J" "SP"
"bird_925" "0000010" "F" "J" "SP"
"bird_926" "0000010" "M" "J" "SP"
"bird_927" "0000010" "M" "J" "SP"
"bird_1068" "0000010" "M" "J" "SP"
"bird_928" "0000010" "F" "J" "SP"
