"chick_ID" "nest_ID" "population" "year" "male" "female"
"chick-177" "nest-95" "WFP" 2015 0 1
"chick-178" "nest-95" "WFP" 2015 0 1
"chick-180" "nest-95" "WFP" 2015 0 1
"chick-189" "nest-96" "WFP" 2015 0 1
"chick-190" "nest-96" "WFP" 2015 1 0
"chick-18" "nest-1" "MP" 2010 1 0
"chick-19" "nest-1" "MP" 2010 0 1
"chick-61" "nest-34" "MP" 2013 0 1
"chick-62" "nest-34" "MP" 2013 1 0
"chick-71" "nest-29" "MP" 2013 0 1
"chick-72" "nest-29" "MP" 2013 1 0
"chick-73" "nest-31" "MP" 2013 0 1
"chick-74" "nest-31" "MP" 2013 1 0
"chick-69" "nest-32" "MP" 2013 0 1
"chick-70" "nest-32" "MP" 2013 1 0
"chick-81" "nest-33" "MP" 2013 1 0
"chick-82" "nest-33" "MP" 2013 0 1
"chick-48" "nest-30" "MP" 2013 1 0
"chick-49" "nest-30" "MP" 2013 1 0
"chick-117" "nest-50" "MP" 2014 1 0
"chick-118" "nest-50" "MP" 2014 0 1
"chick-173" "nest-92" "MP" 2015 1 0
"chick-174" "nest-92" "MP" 2015 1 0
"chick-182" "nest-93" "MP" 2015 0 1
"chick-185" "nest-93" "MP" 2015 1 0
"chick-99" "nest-94" "MP" 2015 1 0
"chick-102" "nest-94" "MP" 2015 1 0
"CA1102" "2007_S_25" "KPM" 2007 1 0
"CA1103" "2007_S_25" "KPM" 2007 1 0
"CA1112" "2007_S_31" "KPM" 2007 0 1
"CA1113" "2007_S_31" "KPM" 2007 0 1
"CA1128" "2007_S_33" "KPM" 2007 0 1
"CA1129" "2007_S_33" "KPM" 2007 0 1
"CA1130" "2007_S_32" "KPM" 2007 0 1
"CA1131" "2007_S_32" "KPM" 2007 0 1
"CA1164" "2008_S_1" "KPM" 2008 0 1
"CA1165" "2008_S_1" "KPM" 2008 0 1
"CA1166" "2008_S_1" "KPM" 2008 1 0
"CA2674" "2008_S_21" "KPM" 2008 1 0
"CA2675" "2008_S_21" "KPM" 2008 1 0
"CA2676" "2008_S_21" "KPM" 2008 0 1
"CA2663" "2008_S_22" "KPM" 2008 0 1
"CA2677" "2008_S_22" "KPM" 2008 1 0
"CA1641" "2009_S_129" "KPM" 2009 1 0
"CA1642" "2009_S_129" "KPM" 2009 0 1
"CA1646" "2009_S_5" "KPM" 2009 0 1
"CA1647" "2009_S_6" "KPM" 2009 1 0
