"ring"	"ch"	"sex"	"age"
"DH85504"	"111010"	"M"	"A"
"DH85504"	"111010"	"M"	"A"
"DH85504"	"111010"	"M"	"A"
"DH85505"	"110000"	"F"	"A"
"DH85507"	"110000"	"F"	"A"
"DH85511"	"100000"	"M"	"A"
"DH85515"	"100000"	"F"	"A"
"DH85516"	"111110"	"M"	"A"
"DH85518"	"111000"	"F"	"A"
"DH85522"	"110100"	"F"	"A"
"DH85526"	"100000"	"F"	"A"
"DH85527"	"110000"	"F"	"A"
"DH85528"	"100100"	"M"	"A"
"DH85538"	"100100"	"F"	"A"
"DH85539"	"111100"	"F"	"A"
"DH85540"	"100000"	"M"	"A"
"DH85555"	"110100"	"M"	"J"
"DH85560"	"100110"	"M"	"J"
"DH85572"	"011100"	"F"	"A"
"DH85573"	"011110"	"F"	"A"
"DH85573"	"011110"	"F"	"A"
"DH85573"	"011110"	"F"	"A"
"DH85577"	"010000"	"M"	"A"
"DH85578"	"011000"	"M"	"A"
"DH85579"	"010000"	"F"	"A"
"DH85580"	"010000"	"M"	"A"
"DH85581"	"010000"	"M"	"A"
"DH85582"	"010000"	"F"	"A"
"DH85583"	"010000"	"M"	"A"
"DH85587"	"011000"	"M"	"A"
"DH85588"	"011010"	"F"	"A"
"DH85592"	"010000"	"M"	"A"
"DH85593"	"010000"	"F"	"A"
"DH85597"	"011000"	"M"	"A"
"DH85598"	"010000"	"M"	"A"
"DH85600"	"011000"	"F"	"A"
"DJ24289"	"000110"	"M"	"A"
"DJ24340"	"000100"	"M"	"A"
"DJ24654"	"011100"	"M"	"A"
"DJ24655"	"010000"	"M"	"A"
"DJ24660"	"010110"	"M"	"A"
"DJ24661"	"011110"	"M"	"A"
"DJ24662"	"011000"	"F"	"A"
"DJ24667"	"010000"	"M"	"A"
"DJ24669"	"011000"	"M"	"A"
"DJ24670"	"010000"	"F"	"A"
"DJ24672"	"011000"	"F"	"A"
"DJ24673"	"010000"	"F"	"A"
"DJ24674"	"011000"	"F"	"A"
"DJ24678"	"011000"	"F"	"A"
"DJ24679"	"011000"	"M"	"A"
"DJ24680"	"011100"	"M"	"A"
"DJ24681"	"010000"	"F"	"A"
