"population" "year" "male" "female" "family_ID" "chick_ID"
"KPM" 2014 0 1 "family_1071" "bird_2412"
"KPM" 2014 0 1 "family_1071" "bird_2413"
"KPM" 2014 1 0 "family_1156" "bird_2330"
"KPM" 2014 0 1 "family_1156" "bird_2331"
"KPM" 2014 1 0 "family_1078" "bird_2139"
"KPM" 2014 0 1 "family_1127" "bird_2241"
"KPM" 2014 0 1 "family_1127" "bird_2333"
"KPM" 2014 0 1 "family_1157" "bird_2243"
"KPM" 2014 1 0 "family_1157" "bird_2244"
"KPM" 2014 0 1 "family_1130" "bird_2334"
"KPM" 2014 1 0 "family_1130" "bird_2335"
"KPM" 2014 0 1 "family_1130" "bird_2336"
"KPM" 2014 0 1 "family_1113" "bird_2338"
"KPM" 2014 0 1 "family_1113" "bird_2339"
"KPM" 2014 1 0 "family_1077" "bird_2342"
"KPM" 2014 1 0 "family_1115" "bird_2345"
"KPM" 2014 0 1 "family_1154" "bird_2349"
"KPM" 2014 0 1 "family_1154" "bird_2350"
"KPM" 2014 1 0 "family_1112" "bird_2351"
"KPM" 2014 1 0 "family_1128" "bird_2352"
"KPM" 2014 1 0 "family_1135" "bird_2353"
"KPM" 2014 1 0 "family_1132" "bird_2252"
"KPM" 2014 1 0 "family_1131" "bird_2253"
"KPM" 2014 1 0 "family_1131" "bird_2254"
"KPM" 2014 0 1 "family_1131" "bird_2354"
"KPM" 2014 1 0 "family_1134" "bird_2257"
"KPM" 2014 0 1 "family_1139" "bird_2258"
"KPM" 2014 1 0 "family_1134" "bird_2358"
"KPM" 2014 1 0 "family_1139" "bird_2361"
"KPM" 2014 1 0 "family_1109" "bird_2363"
"KPM" 2014 0 1 "family_1144" "bird_2364"
"KPM" 2014 1 0 "family_1144" "bird_2365"
"KPM" 2014 1 0 "family_1079" "bird_2367"
"KPM" 2014 1 0 "family_1079" "bird_2368"
"KPM" 2014 1 0 "family_1158" "bird_2369"
"KPM" 2014 1 0 "family_1158" "bird_2370"
"KPM" 2014 0 1 "family_1076" "bird_2373"
"KPM" 2014 0 1 "family_1076" "bird_2379"
"KPM" 2014 1 0 "family_1145" "bird_2386"
"KPM" 2014 1 0 "family_1145" "bird_2387"
"KPM" 2014 1 0 "family_1145" "bird_2388"
"KPM" 2014 1 0 "family_1114" "bird_2390"
"KPM" 2014 0 1 "family_1114" "bird_2391"
"KPM" 2014 1 0 "family_1141" "bird_2394"
"KPM" 2014 0 1 "family_1141" "bird_2395"
"KPM" 2014 0 1 "family_1087" "bird_2269"
"KPM" 2014 0 1 "family_1087" "bird_2270"
"KPM" 2014 0 1 "family_1089" "bird_2143"
"KPM" 2015 1 0 "family_1279" "bird_2181"
"KPM" 2015 0 1 "family_1279" "bird_2446"
"KPM" 2015 0 1 "family_1190" "bird_2188"
"KPM" 2015 0 1 "family_1190" "bird_2189"
"KPM" 2015 1 0 "family_1178" "bird_2472"
"KPM" 2015 0 1 "family_1178" "bird_2473"
"KPM" 2015 0 1 "family_1178" "bird_2474"
"KPM" 2015 0 1 "family_1242" "bird_2216"
"KPM" 2015 0 1 "family_1242" "bird_2217"
"KPM" 2015 1 0 "family_1242" "bird_2218"
"KPM" 2015 1 0 "family_1185" "bird_2481"
"KPM" 2015 0 1 "family_1185" "bird_2482"
"KPM" 2015 1 0 "family_1185" "bird_2483"
"KPM" 2015 1 0 "family_1246" "bird_2228"
"KPM" 2015 0 1 "family_1186" "bird_2491"
"KPM" 2015 1 0 "family_1186" "bird_2492"
"KPM" 2015 1 0 "family_1281" "bird_2434"
"KPM" 2015 1 0 "family_1281" "bird_2435"
"KPM" 2015 1 0 "family_1269" "bird_2296"
"KPM" 2015 1 0 "family_1269" "bird_2437"
"KPM" 2015 1 0 "family_1269" "bird_2438"
"KPT" 1997 0 1 "family_1534" "bird_2837"
"KPT" 1997 1 0 "family_1534" "bird_2838"
"KPT" 1997 1 0 "family_1534" "bird_2839"
"KPT" 1997 0 1 "family_1610" "bird_2973"
"KPT" 1997 0 1 "family_1610" "bird_2974"
"KPT" 1997 1 0 "family_1610" "bird_2975"
"KPT" 1997 1 0 "family_1559" "bird_2957"
"KPT" 1997 0 1 "family_1559" "bird_2958"
"KPT" 1997 1 0 "family_1482" "bird_2954"
"KPT" 1997 0 1 "family_1482" "bird_2955"
"KPT" 1997 0 1 "family_1548" "bird_2966"
"KPT" 1997 0 1 "family_1548" "bird_2970"
"KPT" 1997 0 1 "family_1491" "bird_3037"
"KPT" 1997 1 0 "family_1491" "bird_3038"
"KPT" 1997 1 0 "family_1491" "bird_3039"
"KPT" 1997 0 1 "family_1496" "bird_2967"
"KPT" 1997 1 0 "family_1496" "bird_2968"
"KPT" 1997 1 0 "family_1496" "bird_2969"
"KPT" 1997 1 0 "family_1477" "bird_3040"
"KPT" 1997 1 0 "family_1477" "bird_3041"
"KPT" 1997 0 1 "family_1477" "bird_3042"
"KPT" 1998 1 0 "family_1738" "bird_3090"
"KPT" 1998 0 1 "family_1738" "bird_3185"
"KPT" 1998 1 0 "family_1738" "bird_3186"
"KPT" 1998 1 0 "family_1733" "bird_3190"
"KPT" 1998 0 1 "family_1733" "bird_3191"
"KPT" 1998 0 1 "family_1714" "bird_3194"
"KPT" 1998 0 1 "family_1714" "bird_3195"
"KPT" 1998 0 1 "family_1714" "bird_3196"
"KPT" 1998 1 0 "family_1709" "bird_3095"
"KPT" 1998 0 1 "family_1709" "bird_3096"
"KPT" 1998 0 1 "family_1709" "bird_3097"
"KPT" 1998 1 0 "family_1686" "bird_3099"
"KPT" 1998 0 1 "family_1734" "bird_3209"
"KPT" 1998 1 0 "family_1734" "bird_3210"
"KPT" 1998 0 1 "family_1734" "bird_3211"
"KPT" 1998 1 0 "family_1681" "bird_3104"
"KPT" 1998 0 1 "family_1681" "bird_3217"
"KPT" 1998 1 0 "family_1681" "bird_3218"
"KPT" 1998 0 1 "family_1686" "bird_3101"
"KPT" 1998 1 0 "family_1686" "bird_3102"
"KPT" 1998 1 0 "family_1762" "bird_3214"
"KPT" 1998 0 1 "family_1762" "bird_3215"
"KPT" 1998 1 0 "family_1762" "bird_3216"
"KPT" 1998 0 1 "family_1676" "bird_3232"
"KPT" 1998 0 1 "family_1676" "bird_3233"
"KPT" 1998 0 1 "family_1676" "bird_3234"
"KPT" 1998 0 1 "family_1739" "bird_3235"
"KPT" 1998 0 1 "family_1739" "bird_3236"
"KPT" 1998 0 1 "family_1766" "bird_3239"
"KPT" 1998 1 0 "family_1766" "bird_3240"
"KPT" 1998 1 0 "family_1766" "bird_3241"
"KPT" 1998 0 1 "family_1679" "bird_3113"
"KPT" 1998 1 0 "family_1679" "bird_3116"
"KPT" 1998 0 1 "family_1679" "bird_3117"
"KPT" 1998 1 0 "family_1670" "bird_3120"
"KPT" 1998 1 0 "family_1670" "bird_3257"
"KPT" 1998 0 1 "family_1670" "bird_3261"
"KPT" 1998 1 0 "family_1767" "bird_3258"
"KPT" 1998 0 1 "family_1767" "bird_3259"
"KPT" 1998 1 0 "family_1767" "bird_3260"
"KPT" 1998 1 0 "family_1688" "bird_3123"
"KPT" 1998 1 0 "family_1688" "bird_3124"
"KPT" 1998 1 0 "family_1688" "bird_3125"
"KPT" 1998 0 1 "family_1658" "bird_3266"
"KPT" 1998 1 0 "family_1658" "bird_3267"
"KPT" 1998 0 1 "family_1658" "bird_3270"
"KPT" 1998 0 1 "family_1690" "bird_3127"
"KPT" 1998 0 1 "family_1716" "bird_3128"
"KPT" 1998 1 0 "family_1716" "bird_3271"
"KPT" 1998 1 0 "family_1716" "bird_3272"
"KPT" 1998 1 0 "family_1673" "bird_3793"
"KPT" 1998 0 1 "family_1673" "bird_3799"
"KPT" 1998 0 1 "family_1673" "bird_3800"
"KPT" 1998 0 1 "family_1683" "bird_3794"
"KPT" 1998 0 1 "family_1683" "bird_3795"
"KPT" 1998 0 1 "family_1683" "bird_3796"
"KPT" 1998 1 0 "family_1690" "bird_3130"
"KPT" 1998 0 1 "family_1657" "bird_3831"
"KPT" 1998 1 0 "family_1657" "bird_3834"
"KPT" 1998 0 1 "family_1657" "bird_3835"
"KPT" 1998 0 1 "family_1687" "bird_3138"
"KPT" 1998 1 0 "family_1687" "bird_3139"
"KPT" 1998 1 0 "family_1687" "bird_3142"
"KPT" 1998 1 0 "family_1693" "bird_3140"
"KPT" 1998 1 0 "family_1693" "bird_3141"
"KPT" 1998 0 1 "family_1737" "bird_3828"
"KPT" 1998 1 0 "family_1737" "bird_3829"
"KPT" 1998 1 0 "family_1737" "bird_3830"
"KPT" 1998 0 1 "family_1666" "bird_3836"
"KPT" 1998 1 0 "family_1682" "bird_3144"
"KPT" 1998 0 1 "family_1682" "bird_3145"
"KPT" 1998 0 1 "family_1666" "bird_3840"
"KPT" 1998 1 0 "family_1666" "bird_3841"
"KPT" 1998 0 1 "family_1718" "bird_3838"
"KPT" 1998 1 0 "family_1718" "bird_3842"
"KPT" 1998 0 1 "family_1718" "bird_3843"
"KPT" 1998 1 0 "family_1677" "bird_3147"
"KPT" 1998 0 1 "family_1677" "bird_3148"
"KPT" 1998 0 1 "family_1677" "bird_3149"
"KPT" 1998 0 1 "family_1728" "bird_3852"
"KPT" 1998 1 0 "family_1728" "bird_3853"
"KPT" 1998 1 0 "family_1728" "bird_3854"
"KPT" 1998 0 1 "family_1695" "bird_3152"
"KPT" 1998 0 1 "family_1695" "bird_3153"
"KPT" 1998 0 1 "family_1695" "bird_3154"
"KPT" 1998 0 1 "family_1701" "bird_3155"
"KPT" 1998 1 0 "family_1701" "bird_3156"
"KPT" 1998 0 1 "family_1701" "bird_3157"
"KPT" 1998 0 1 "family_1694" "bird_3865"
"KPT" 1998 1 0 "family_1694" "bird_3158"
"KPT" 1998 1 0 "family_1694" "bird_3159"
"KPT" 1998 0 1 "family_1729" "bird_3870"
"KPT" 1998 0 1 "family_1729" "bird_3871"
"KPT" 1998 0 1 "family_1729" "bird_3872"
"KPT" 1998 1 0 "family_1659" "bird_3873"
"KPT" 1998 1 0 "family_1659" "bird_3874"
"KPT" 1998 1 0 "family_1659" "bird_3875"
"KPT" 1998 0 1 "family_1671" "bird_3877"
"KPT" 1998 1 0 "family_1671" "bird_3878"
"KPT" 1998 1 0 "family_1671" "bird_3879"
"KPT" 1998 0 1 "family_1730" "bird_3885"
"KPT" 1998 0 1 "family_1730" "bird_3886"
"KPT" 1998 0 1 "family_1660" "bird_3889"
"KPT" 1998 0 1 "family_1660" "bird_3890"
"KPT" 1998 0 1 "family_1660" "bird_3891"
"KPT" 1998 0 1 "family_1700" "bird_3167"
"KPT" 1998 1 0 "family_1680" "bird_3893"
"KPT" 1998 0 1 "family_1680" "bird_3168"
"KPT" 1998 1 0 "family_1680" "bird_3171"
"KPT" 1998 1 0 "family_1700" "bird_3169"
"KPT" 1998 1 0 "family_1700" "bird_3170"
"KPT" 1998 1 0 "family_1697" "bird_3173"
"KPT" 1998 1 0 "family_1697" "bird_3174"
