"ch"	"Ring"	"Species"	"Year"	"Hatch_Date_simp"	"Day_of_Season"	"Sex"	"ID"	"Hatch_brood_size"
"00.00001000000000..0000.000000000000"	"FH73546"	"KIP"	"2015"	417	67	"F"	"KIP_2015_KEXP1"	NA
".00001000000000..0000.0000000000000."	"FH73547"	"KIP"	"2015"	419	69	"M"	"KIP_2015_KEXP1"	NA
"1000000000..0000.0000000000000..0000"	"FH73548"	"KIP"	"2015"	424	74	"M"	"KIP_2015_122"	NA
"1000000000..0000.0000000000000..0000"	"FH73549"	"KIP"	"2015"	424	74	"F"	"KIP_2015_122"	NA
"01000000000..0000.0000000000000..000"	"FH73550"	"KIP"	"2015"	423	73	"M"	"KIP_2015_KEXP2"	NA
"001000000000..0000.0000000000000..00"	"FH73551"	"KIP"	"2015"	422	72	"M"	"KIP_2015_KEXP2"	NA
"0000000000.00000001000000..0000.0000"	"FH73552"	"KIP"	"2015"	409	59	"M"	"KIP_2015_112"	NA
"1000000..0000.0000000000000..00000.0"	"FH73556"	"KIP"	"2015"	427	77	"F"	"KIP_2015_144"	NA
"100000..0000.0000000000000..00000.00"	"FH73560"	"KIP"	"2015"	428	78	"M"	"KIP_2015_144"	NA
"00000000001000..0000.0000000000000.."	"FH73562"	"KIP"	"2015"	420	70	"M"	"KIP_2015_-101"	NA
"10000..00000.00000.000000.0000000..."	"FH73564"	"KIP"	"2015"	519	99	"M"	"KIP_2015_666"	NA
"1000..00000.00000.000000.0000000...."	"FH73571"	"KIP"	"2015"	520	100	"F"	"KIP_2015_692"	NA
"1000..01000.00000.000000.0000000...."	"FH73572"	"KIP"	"2015"	520	100	"F"	"KIP_2015_656"	NA
"1000..00000.00000.000000.0000000...."	"FH73574"	"KIP"	"2015"	520	100	"M"	"KIP_2015_665"	NA
"000100..00000.00000.000000.0000000.."	"FH73578"	"KIP"	"2015"	518	98	"F"	"KIP_2015_680"	NA
"00000000000000..0000.0000000000100.."	"FH73580"	"KIP"	"2015"	420	70	"M"	"KIP_2015_-17"	NA
".00000000000000..0000.0000000000100."	"FH73581"	"KIP"	"2015"	419	69	"F"	"KIP_2015_-17"	NA
"000100..00000.00000.000000.0000000.."	"FH73582"	"KIP"	"2015"	518	98	"M"	"KIP_2015_680"	NA
"0000..01000.00000.001000.0000000...."	"FH73596"	"KIP"	"2015"	520	100	"M"	"KIP_2015_-22"	NA
"000..01000.00000.000000.0000000....."	"FH73597"	"KIP"	"2015"	521	101	"F"	"KIP_2015_-22"	NA
".01000.00000.000000.0000000........."	"FH73598"	"KIP"	"2015"	525	105	"M"	"KIP_2015_-21"	NA
"01000.00000.000000.0000000.........."	"FH73599"	"KIP"	"2015"	526	106	"F"	"KIP_2015_-21"	NA
"1000.00000.100000.0000000..........."	"FH73600"	"KIP"	"2015"	527	107	"F"	"KIP_2015_703"	NA
