"ch"	"Ring"	"Species"	"Year"	"Hatch_Date_simp"	"Day_of_Season"	"Sex"	"ID"	"Hatch_brood_size"
"010000000000.0000000000.00.0.0000..0"	"FH72857"	"KIP"	"2014"	408	58	"M"	"KIP_2014_24"	2
"100000000.0000001000.00.0.0000..0000"	"FH72861"	"KIP"	"2014"	411	61	"M"	"KIP_2014_32"	1
"000000000.00000000000000000001000000"	"FH72864"	"KIP"	"2014"	314	33	"F"	"KIP_2014_-14"	NA
"00000000000000000000001000.000000000"	"FH72866"	"KIP"	"2014"	325	44	"F"	"KIP_2014_-15"	NA
"0.000000000000000000000000000.100000"	"FH72869"	"KIP"	"2014"	322	41	"F"	"KIP_2014_-20"	NA
"0100000000.00.0.0000..00000.000000.."	"FH72870"	"KIP"	"2014"	421	71	"M"	"KIP_2014_-16"	NA
"100000000.00.0.0000..00000.000000..0"	"FH72871"	"KIP"	"2014"	422	72	"F"	"KIP_2014_-16"	NA
"0100001100.00.0.0000..00000.000000.."	"FH72872"	"KIP"	"2014"	421	71	"F"	"KIP_2014_-17"	NA
"0100001100.00.0.0000..00000.000000.."	"FH72873"	"KIP"	"2014"	421	71	"M"	"KIP_2014_-17"	NA
"010000000.00.0.0000..00000.000000..0"	"FH72874"	"KIP"	"2014"	422	72	"M"	"KIP_2014_-18"	NA
".0010000000.00.0.0000..00000.000000."	"FH72875"	"KIP"	"2014"	420	70	"F"	"KIP_2014_-19"	NA
"00000000000000000000000.0000100000.0"	"FH72878"	"KIP"	"2014"	328	47	"F"	"KIP_2014_-21"	NA
"1.0000..00000.000000..000.10........"	"FH72886"	"KIP"	"2014"	505	85	"M"	"KIP_2014_-22"	NA
"1.0000..00000.000000..000.10........"	"FH72887"	"KIP"	"2014"	505	85	"M"	"KIP_2014_-22"	NA
"0.0100..00000.000000..000.00........"	"FH72894"	"KIP"	"2014"	505	85	"M"	"KIP_2014_-23"	NA
"1000..000.00........................"	"FH72924"	"KIP"	"2014"	521	101	"M"	"KIP_2014_-25"	NA
"001000..000.00......................"	"FH72925"	"KIP"	"2014"	519	99	"M"	"KIP_2014_-25"	NA
"0.00.0.0000..00000.001000..010.01..."	"FH72927"	"KIP"	"2014"	430	80	"M"	"KIP_2014_-26"	NA
".0.0000..00000.000000..010.01......."	"FH72929"	"KIP"	"2014"	504	84	"M"	"KIP_2014_-26"	NA
"00..00000.000000..000.10............"	"FH72932"	"KIP"	"2014"	509	89	"M"	"KIP_2014_-27"	NA
"11010.00000000000000..0000.000000000"	"FH72936"	"KIP"	"2015"	414	64	"F"	"KIP_2015_509"	NA
"11000.00000000000000..0000.000000000"	"FH72937"	"KIP"	"2015"	414	64	"M"	"KIP_2015_509"	NA
"10000000000000..0000.0000000000000.."	"FH72943"	"KIP"	"2015"	420	70	"M"	"KIP_2015_622=507"	NA
"000000000000.00100000000000..0000.00"	"FH72951"	"KIP"	"2015"	407	57	"F"	"KIP_2015_-2"	NA
"00.00100000000000..0000.000000000000"	"FH72952"	"KIP"	"2015"	417	67	"M"	"KIP_2015_-1"	NA
"0001000001000..0000.0000000000000..0"	"FH72954"	"KIP"	"2015"	421	71	"F"	"KIP_2015_-3"	NA
"00001000001000..0000.0000000000000.."	"FH72955"	"KIP"	"2015"	420	70	"F"	"KIP_2015_-3"	NA
"1000.0000000000000..00000.00000.0000"	"FH72960"	"KIP"	"2015"	506	86	"F"	"KIP_2015_448"	NA
"0000000000..1100.0000000000000..0000"	"FH72962"	"KIP"	"2015"	424	74	"M"	"KIP_2015_-4"	NA
"000.00000000000000..1000.00000000000"	"FH72964"	"KIP"	"2015"	416	66	"M"	"KIP_2015_-5"	NA
"000000.00000000000000..1000.00000000"	"FH72965"	"KIP"	"2015"	413	63	"M"	"KIP_2015_-5"	NA
"0000000.00000000000000..0100.0000000"	"FH72966"	"KIP"	"2015"	412	62	"F"	"KIP_2015_-6"	NA
"000000000000..0100.0000000000000..00"	"FH72972"	"KIP"	"2015"	422	72	"F"	"KIP_2015_-7"	NA
"0000000000000..0110.0000000000000..0"	"FH72973"	"KIP"	"2015"	421	71	"M"	"KIP_2015_-7"	NA
"00000..0001.0000100000000..00000.000"	"FH72981"	"KIP"	"2015"	429	79	"M"	"KIP_2015_-8"	NA
"0000..0001.0000100000000..00000.0000"	"FH72982"	"KIP"	"2015"	430	80	"F"	"KIP_2015_-8"	NA
"0.1000000000000..00000.00000.000000."	"FH72986"	"KIP"	"2015"	509	89	"F"	"KIP_2015_-9"	NA
"100000000000..00000.00000.000000.000"	"FH72988"	"KIP"	"2015"	512	92	"F"	"KIP_2015_636"	NA
"100000000000..00000.00000.000000.000"	"FH72991"	"KIP"	"2015"	512	92	"M"	"KIP_2015_636"	NA
"00..0000.0100000000000..00000.00000."	"FH72992"	"KIP"	"2015"	502	82	"M"	"KIP_2015_254"	NA
"0010000000000..00000.00000.000000.00"	"FH72996"	"KIP"	"2015"	511	91	"F"	"KIP_2015_603"	NA
"0010000000000..00000.00000.000000.00"	"FH72997"	"KIP"	"2015"	511	91	"F"	"KIP_2015_603"	NA
".......00000000001000.00001000000000"	"FH73000"	"KIP"	"2014"	302	21	"M"	"KIP_2014_"	NA
"0010000000000.0000000000.00.0.0000.."	"FH73005"	"KIP"	"2014"	407	57	"F"	"KIP_2014_-116"	NA
"000010000000000.0000000000.00.0.0000"	"FH73006"	"KIP"	"2014"	405	55	"M"	"KIP_2014_-116"	NA
"000000000000.00000000000000000010000"	"FH73013"	"KIP"	"2014"	311	30	"M"	"KIP_2014_109"	NA
"01000.0000000000.00.0.0000..00000.00"	"FH73025"	"KIP"	"2014"	415	65	"F"	"KIP_2014_-117"	NA
"1000.0000000000.00.0.0000..00000.000"	"FH73027"	"KIP"	"2014"	416	66	"F"	"KIP_2014_-118"	NA
"001010.0000000000.00.0.0000..00000.0"	"FH73029"	"KIP"	"2014"	414	64	"M"	"KIP_2014_-119"	NA
