"ch"	"species"	"ring"	"sex"	"age"
"0000010"	"WFP"	"FH72888"	"M"	"J"
"0000010"	"WFP"	"FH72889"	"M"	"J"
"0000010"	"WFP"	"FH72890"	"M"	"J"
"0000010"	"WFP"	"FH72891"	"M"	"J"
"0000010"	"WFP"	"FH72892"	"F"	"J"
"0000010"	"WFP"	"FH72897"	"F"	"J"
"0000010"	"WFP"	"FH72898"	"M"	"J"
"0000010"	"WFP"	"FH72910"	"F"	"J"
"0000010"	"WFP"	"FH72921"	"F"	"A"
"0000010"	"WFP"	"FH72921"	"F"	"J"
"0000010"	"WFP"	"FH72921"	"F"	"A"
"0000010"	"WFP"	"FH72921"	"F"	"J"
"0000010"	"WFP"	"FH72928"	"F"	"J"
"0000010"	"WFP"	"FH72930"	"F"	"A"
"0000011"	"WFP"	"FH72931"	"M"	"A"
"0000011"	"WFP"	"FH72933"	"F"	"A"
"0000001"	"WFP"	"FH72949"	"M"	"A"
"0000001"	"WFP"	"FH72956"	"F"	"A"
"0000001"	"WFP"	"FH72977"	"F"	"J"
"0000001"	"WFP"	"FH72978"	"M"	"J"
"0000001"	"WFP"	"FH72978"	"F"	"J"
"0000001"	"WFP"	"FH72979"	"M"	"J"
"0000001"	"WFP"	"FH72994"	"F"	"A"
"0000001"	"WFP"	"FH72998"	"M"	"J"
"0000001"	"WFP"	"FH72999"	"M"	"J"
"0000001"	"WFP"	"FH72999"	"M"	"J"
"0000010"	"WFP"	"FH73002"	"M"	"J"
"0000010"	"WFP"	"FH73003"	"M"	"J"
"0000010"	"WFP"	"FH73004"	"M"	"J"
"0000010"	"WFP"	"FH73008"	"F"	"J"
"0000010"	"WFP"	"FH73014"	"F"	"J"
"0000010"	"WFP"	"FH73018"	"M"	"A"
"0000010"	"WFP"	"FH73039"	"F"	"J"
"0000011"	"WFP"	"FH73040"	"M"	"J"
"0000011"	"WFP"	"FH73041"	"M"	"A"
"0000010"	"WFP"	"FH73042"	"F"	"J"
"0000010"	"WFP"	"FH73043"	"M"	"J"
"0000010"	"WFP"	"FH73044"	"F"	"J"
"0000010"	"WFP"	"FH73045"	"F"	"J"
"0000010"	"WFP"	"FH73045"	"F"	"J"
"0000010"	"WFP"	"FH73046"	"F"	"J"
"0000010"	"WFP"	"FH73047"	"F"	"J"
"0000011"	"WFP"	"FH73048"	"F"	"A"
"0000001"	"WFP"	"FH73075"	"F"	"A"
"0000001"	"WFP"	"FH73130"	"F"	"A"
"0000001"	"WFP"	"FH73149"	"F"	"A"
"0000001"	"WFP"	"FH73150"	"M"	"A"
"0000001"	"WFP"	"FH73153"	"M"	"A"
"0000001"	"WFP"	"FH73180"	"F"	"A"
"0000001"	"WFP"	"FH73186"	"F"	"A"
"0000001"	"WFP"	"FH73210"	"F"	"A"
"0000001"	"WFP"	"FH73212"	"M"	"A"
"0000001"	"WFP"	"FH73234"	"M"	"A"
"0000001"	"WFP"	"FH73245"	"M"	NA
"0000001"	"WFP"	"FH73249"	"F"	NA
"0000001"	"WFP"	"FH73254"	"F"	"A"
"0000001"	"WFP"	"FH73255"	"M"	"A"
"0000001"	"WFP"	"FH73294"	"M"	"A"
"0000001"	"WFP"	"FH73295"	"M"	"A"
"0000001"	"WFP"	"FH73296"	"F"	"A"
"0000001"	"WFP"	"FH73297"	"M"	"A"
"0000001"	"WFP"	"FH73298"	"F"	"J"
"0000001"	"WFP"	"FH73299"	"F"	"A"
"0000001"	"WFP"	"FH73305"	"F"	"A"
"0000001"	"WFP"	"FH73312"	"M"	"A"
"0000001"	"WFP"	"FH73313"	"F"	"A"
"0000001"	"WFP"	"FH73316"	"M"	"A"
"0000001"	"WFP"	"FH73328"	"M"	"A"
"0000001"	"WFP"	"FH73354"	"M"	"A"
"0000001"	"WFP"	"FH73355"	"F"	"A"
"0000001"	"WFP"	"FH73491"	"M"	"A"
"0000001"	"WFP"	"FH73496"	"M"	"A"
"0000001"	"WFP"	"FH73515"	"F"	"J"
"0000001"	"WFP"	"FH73516"	"F"	"J"
"0000001"	"WFP"	"FH73519"	"F"	"J"
"0000001"	"WFP"	"FH73558"	"F"	"J"
"0000001"	"WFP"	"FH73559"	"M"	"J"
"0000001"	"WFP"	"FH73583"	"M"	"J"
"0000001"	"WFP"	"FH73584"	"M"	"J"
"0000001"	"WFP"	"FH73589"	"F"	"A"
"0000001"	"WFP"	"FH73591"	"F"	"A"
