year,site,nest,laying_date,hatching_date,parent1,parent2,parent3,chick1,chick2,chick3,species,comments
2013,Andavadoaka,26,,,FH68776,FH72202,,FH72201,FH72203,,MP,
2013,Andavadoaka,27,,,FH17819,FH17885,,,,,MP,
2013,Andavadoaka,28,,,FH68775,,,,,,MP,
2013,Andavadoaka,34,,,FH47189,FH47595,,,,,MP,
2013,Andavadoaka,35,,,FH68722,,,,,,MP,
2013,Andavadoaka,36,,,FH47983,,,,,,MP,
2013,Andavadoaka,37,,,FH72279,,,,,,MP,
2013,Andavadoaka,38,,,FH68893,,,,,,MP,
2013,Andavadoaka,39,,,FH47161,FH72116,,,,,MP,
2013,Andavadoaka,40,,,FH17804,,,,,,MP,in white sheet
2013,Andavadoaka,41,,,FH72178,,,,,,MP,
2013,Andavadoaka,42,,,FH72191,FH72367,,FH72368,,,MP,
2013,Andavadoaka,43,,,FH72197,,,,,,MP,
2013,Andavadoaka,44,,,FH72304,FH72405,,FH72404,FH72403,,MP,
2013,Andavadoaka,101,,,FH47901,,,,,,MP,
2013,Andavadoaka,102,,,FH47160,FH47040,,FH68936,,,MP,
2013,Andavadoaka,103,,,FH47260,,,,,,MP,RGRM parent.2 In white sheet _ probably moistaken as no MP has this code
2013,Andavadoaka,104,,,FH17846,FH17848,,,,,MP,
2013,Andavadoaka,105,,,FH68893,,,,,,MP,
2013,Andavadoaka,107,,,FH68944,,,,,,MP,
2013,Andavadoaka,108,,,FH68892,,,,,,MP,
2013,Andavadoaka,109,,,FH17803,,,,,,MP,
2013,Andavadoaka,112,,,FH68989,,,,,,MP,
2013,Andavadoaka,201,,,FH47160,FH47040,,,,,MP,
2013,Andavadoaka,202,,,FH47488,,,,,,MP,
2013,Andavadoaka,203,,,FH17848,FH47149,,,,,MP,
2013,Andavadoaka,207,,,FH47944,FH47367,,FH68948,FH68951,,MP,
2013,Andavadoaka,208,,,FH17815,,,,,,MP,
2013,Andavadoaka,209,,,FH47165,FH47488,,,,,MP,
2013,Andavadoaka,210,,,FH68993,FH47607,,FH72216,,,MP,
2013,Andavadoaka,211,,,FH68762,,,,,,MP,
2013,Andavadoaka,400,,,FH72321,FH72322,,,,,MP,
2013,Andavadoaka,?,,,,,,FH72276,,,MP,
2013,Andavadoaka,-103,,,FH72243,,,FH72228,FH72229,FH72242,WfP,
2013,Andavadoaka,-102,,,,,,FH72218,FH72217,,WfP,
2013,Andavadoaka,-101,,,,,,FH68955,FH68956,,WfP,
2013,Andavadoaka,-8,,,FH47985,,,FH72461,FH72462,,WfP,
2013,Andavadoaka,-7,,,FH72442,,,FH72444,FH72443,FH72445,WfP,
2013,Andavadoaka,-6,,,FH72429,,,FH72428,,,WfP,
2013,Andavadoaka,-5,,,FH72406,FH72408,,FH72410,FH72409,,WfP,
2013,Andavadoaka,-4,,,FH72398,FH47547,,FH72399,FH72400,,WfP,
2013,Andavadoaka,-3,,,FH72395,,,FH72396,FH72394,,WfP,
2013,Andavadoaka,-2,,,FH47240,FH17855,,FH72297,,,WfP,
2013,Andavadoaka,-1,,,,,,FH72109,FH72108,,WfP,
2013,Andavadoaka,3,,,FH68704,FH68867,,,,,WfP,
2013,Andavadoaka,5,,,FH69233,FH47993,,FH68895,FH68903,FH68913,WfP,FH47993 was captured in 2012 in Tsimanampetsotsa
2013,Andavadoaka,6,,,FH47976,,,,,,WfP,
2013,Andavadoaka,7,,,FH69251,FH69250,,,,,WfP,
2013,Andavadoaka,8,,,FH69056,BXOM,,FH72234,FH72235,FH72236,WfP,Red = In white sheet
2013,Andavadoaka,9,,,FH47120,,,,,,WfP,
2013,Andavadoaka,10,,,FH68705,,,,,,WfP,
2013,Andavadoaka,13,,,FH68870,,,,,,WfP,
2013,Andavadoaka,17,,,FH68721,,,,,,WfP,
2013,Andavadoaka,27,,,FH68772,FH68773,,FH68774,,,WfP,
2013,Andavadoaka,28,,,FH68778,FH68777,,,,,WfP,
2013,Andavadoaka,30,,,FH68780,,,,,,WfP,
2013,Andavadoaka,33,,,FH72152,FH72269,,FH72153,,,WfP,
2013,Andavadoaka,34,,,FH47191,,,,,,WfP,
2013,Andavadoaka,35,,,FH68830,,,,,,WfP,
2013,Andavadoaka,36,,,FH72139,,,,,,WfP,
2013,Andavadoaka,37,,,FH47967,,,,,,WfP,
2013,Andavadoaka,39,,,FH72144,,,,,,WfP,
2013,Andavadoaka,42,,,FH72170,,,,,,WfP,
2013,Andavadoaka,44,,,FH72173,FH72313,,FH72314,,,WfP,
2013,Andavadoaka,47,,,FH69034,,,,,,WfP,
2013,Andavadoaka,48,,,FH47387,FH72249,,FH72142,,,WfP,
2013,Andavadoaka,50,,,FH72174,,,,,,WfP,
2013,Andavadoaka,51,,,FH72295,,,,,,WfP,
