"ch"	"species"	"ring"	"sex"	"age"
"0001000"	"KIP"	"FH68853"	"M"	"J"
"0001000"	"KIP"	"FH68854"	"F"	"J"
"0001001"	"KIP"	"FH68855"	"F"	"A"
"0001000"	"KIP"	"FH68856"	"M"	"A"
"0001000"	"KIP"	"FH68857"	"F"	"J"
"0001000"	"KIP"	"FH68859"	"M"	"A"
"0001111"	"KIP"	"FH68860"	"M"	"A"
"0001111"	"KIP"	"FH68862"	"F"	"A"
"0001111"	"KIP"	"FH68862"	"F"	"A"
"0001000"	"KIP"	"FH68863"	"M"	"J"
"0001000"	"KIP"	"FH68865"	"M"	"J"
"0001101"	"KIP"	"FH68866"	"M"	"A"
"0001111"	"KIP"	"FH68869"	"F"	"A"
"0001111"	"KIP"	"FH68869"	"F"	"A"
"0000110"	"KIP"	"FH68871"	"M"	"A"
"0000101"	"KIP"	"FH68872"	"M"	"A"
"0000100"	"KIP"	"FH68873"	"F"	"A"
"0000111"	"KIP"	"FH68874"	"F"	"A"
"0000110"	"KIP"	"FH68875"	"M"	"A"
"0000110"	"KIP"	"FH68875"	"M"	"A"
"0000100"	"KIP"	"FH68876"	"M"	"J"
"0000100"	"KIP"	"FH68877"	"M"	"J"
"0000100"	"KIP"	"FH68878"	"M"	"J"
"0000100"	"KIP"	"FH68879"	"M"	"A"
"0000101"	"KIP"	"FH68880"	"F"	"A"
"0000100"	"KIP"	"FH68881"	"M"	"J"
"0000100"	"KIP"	"FH68882"	"F"	"J"
"0000100"	"KIP"	"FH68883"	"M"	"A"
"0000100"	"KIP"	"FH68884"	"F"	"J"
"0000100"	"KIP"	"FH68885"	"M"	"J"
"0000100"	"KIP"	"FH68886"	"M"	"J"
"0000110"	"KIP"	"FH68887"	"F"	"A"
"0000100"	"KIP"	"FH68890"	"M"	"J"
"0000110"	"KIP"	"FH68891"	"F"	"A"
"0000101"	"KIP"	"FH68894"	"F"	"J"
"0000101"	"KIP"	"FH68894"	"F"	"J"
"0000101"	"KIP"	"FH68896"	"M"	"A"
"0000100"	"KIP"	"FH68897"	"F"	"J"
"0000100"	"KIP"	"FH68898"	"F"	"J"
"0000111"	"KIP"	"FH68899"	"M"	"A"
"0000111"	"KIP"	"FH68899"	"M"	"A"
"0000111"	"KIP"	"FH68899"	"M"	"A"
"0000100"	"KIP"	"FH68900"	"F"	"J"
"0000100"	"KIP"	"FH68901"	"F"	"J"
"0000110"	"KIP"	"FH68902"	"M"	"A"
"0000100"	"KIP"	"FH68904"	"F"	"A"
"0000101"	"KIP"	"FH68905"	"F"	"A"
"0000101"	"KIP"	"FH68906"	"F"	"A"
"0000100"	"KIP"	"FH68907"	"F"	"A"
"0000100"	"KIP"	"FH68908"	"F"	"A"
"0000100"	"KIP"	"FH68909"	"M"	"A"
"0000110"	"KIP"	"FH68910"	"F"	"A"
"0000110"	"KIP"	"FH68911"	"M"	"A"
"0000100"	"KIP"	"FH68912"	"M"	"J"
"0000110"	"KIP"	"FH68914"	"F"	"A"
"0000100"	"KIP"	"FH68915"	"F"	"A"
"0000100"	"KIP"	"FH68923"	"F"	"J"
"0000111"	"KIP"	"FH68926"	"F"	"J"
"0000111"	"KIP"	"FH68926"	"F"	"J"
"0000100"	"KIP"	"FH68927"	"F"	"J"
"0000100"	"KIP"	"FH68928"	"M"	"J"
"0000100"	"KIP"	"FH68929"	"M"	"J"
"0000101"	"KIP"	"FH68930"	"M"	"A"
"0000100"	"KIP"	"FH68931"	"F"	"J"
"0000101"	"KIP"	"FH68932"	"M"	"J"
"0000101"	"KIP"	"FH68932"	"M"	"J"
"0000101"	"KIP"	"FH68937"	"M"	"A"
"0000100"	"KIP"	"FH68938"	"M"	"J"
"0000100"	"KIP"	"FH68939"	"F"	"J"
"0000101"	"KIP"	"FH68941"	"M"	"A"
"0000100"	"KIP"	"FH68942"	"F"	"J"
"0000111"	"KIP"	"FH68943"	"M"	"A"
"0000100"	"KIP"	"FH68945"	"F"	"J"
"0000110"	"KIP"	"FH68950"	"M"	"A"
"0000100"	"KIP"	"FH68952"	"M"	"A"
"0000101"	"KIP"	"FH68953"	"F"	"J"
"0000101"	"KIP"	"FH68953"	"F"	"J"
"0000100"	"KIP"	"FH68954"	"M"	"J"
"0000100"	"KIP"	"FH68957"	"M"	"J"
"0000110"	"KIP"	"FH68958"	"F"	"J"
"0000110"	"KIP"	"FH68958"	"F"	"J"
"0000101"	"KIP"	"FH68959"	"F"	"J"
"0000101"	"KIP"	"FH68959"	"M"	"J"
"0000100"	"KIP"	"FH68960"	"M"	"J"
"0000101"	"KIP"	"FH68961"	"F"	"J"
"0000101"	"KIP"	"FH68961"	"F"	"J"
"0000101"	"KIP"	"FH68961"	"F"	"J"
"0000101"	"KIP"	"FH68961"	"F"	"J"
"0000100"	"KIP"	"FH68962"	"M"	"A"
"0000111"	"KIP"	"FH68964"	"F"	"A"
"0000110"	"KIP"	"FH68965"	"F"	"A"
"0000100"	"KIP"	"FH68966"	"F"	"J"
"0000100"	"KIP"	"FH68967"	"F"	"J"
"0000110"	"KIP"	"FH68968"	"M"	"A"
"0000100"	"KIP"	"FH68969"	"F"	"J"
"0000101"	"KIP"	"FH68970"	"M"	"A"
"0000100"	"KIP"	"FH68971"	"M"	"J"
"0000100"	"KIP"	"FH68972"	"M"	"J"
"0000100"	"KIP"	"FH68973"	"M"	"J"
"0000101"	"KIP"	"FH68974"	"M"	"A"
"0000100"	"KIP"	"FH68975"	"M"	"J"
"0000100"	"KIP"	"FH68976"	"F"	"J"
"0000111"	"KIP"	"FH68977"	"M"	"A"
"0000100"	"KIP"	"FH68978"	"F"	"J"
"0000100"	"KIP"	"FH68978"	"F"	"J"
"0000100"	"KIP"	"FH68980"	"M"	"J"
"0000111"	"KIP"	"FH68981"	"M"	"A"
"0000111"	"KIP"	"FH68981"	"M"	"A"
"0000101"	"KIP"	"FH68982"	"M"	"J"
"0000101"	"KIP"	"FH68982"	"M"	"J"
"0000101"	"KIP"	"FH68983"	"F"	"A"
"0000100"	"KIP"	"FH68984"	"M"	"A"
"0000100"	"KIP"	"FH68985"	"F"	"J"
"0000100"	"KIP"	"FH68986"	"F"	"J"
"0000100"	"KIP"	"FH68987"	"M"	"J"
"0000100"	"KIP"	"FH68988"	"M"	"J"
"0000100"	"KIP"	"FH68990"	"M"	"J"
"0000100"	"KIP"	"FH68991"	"M"	"J"
"0000100"	"KIP"	"FH68994"	"M"	"J"
"0000100"	"KIP"	"FH68995"	"M"	"J"
"0000100"	"KIP"	"FH69000"	"M"	"J"
"0001001"	"KIP"	"FH69001"	"M"	"A"
"0001000"	"KIP"	"FH69002"	"M"	"J"
"0001011"	"KIP"	"FH69003"	"M"	"A"
"0001000"	"KIP"	"FH69004"	"F"	"J"
"0001000"	"KIP"	"FH69005"	"M"	"J"
"0001000"	"KIP"	"FH69006"	"F"	"A"
"0001000"	"KIP"	"FH69007"	"M"	"A"
"0001000"	"KIP"	"FH69009"	"F"	"J"
"0001100"	"KIP"	"FH69010"	"M"	"A"
"0001000"	"KIP"	"FH69011"	"F"	"J"
"0001000"	"KIP"	"FH69012"	"F"	"J"
"0001100"	"KIP"	"FH69016"	"M"	"A"
"0001000"	"KIP"	"FH69017"	"M"	"A"
"0001000"	"KIP"	"FH69018"	"M"	"J"
"0001100"	"KIP"	"FH69021"	"F"	"A"
"0001101"	"KIP"	"FH69022"	"M"	"A"
"0001000"	"KIP"	"FH69024"	"M"	"A"
"0001000"	"KIP"	"FH69028"	"M"	"A"
"0001111"	"KIP"	"FH69029"	"F"	"A"
"0001111"	"KIP"	"FH69029"	"F"	"A"
"0001111"	"KIP"	"FH69029"	"F"	"A"
"0001110"	"KIP"	"FH69033"	"F"	"A"
"0001010"	"KIP"	"FH69041"	"F"	"A"
"0001110"	"KIP"	"FH69042"	"M"	"A"
"0001110"	"KIP"	"FH69042"	"M"	"A"
"0001000"	"KIP"	"FH69043"	"F"	"J"
"0001000"	"KIP"	"FH69049"	"F"	"A"
"0001000"	"KIP"	"FH69050"	"M"	"J"
"0001001"	"KIP"	"FH69051"	"F"	"A"
"0001111"	"KIP"	"FH69058"	"F"	"A"
"0001000"	"KIP"	"FH69059"	"F"	"A"
"0001000"	"KIP"	"FH69060"	"F"	"A"
"0001000"	"KIP"	"FH69061"	"M"	"A"
"0001101"	"KIP"	"FH69063"	"F"	"A"
"0001011"	"KIP"	"FH69067"	"M"	"A"
"0001110"	"KIP"	"FH69068"	"M"	"A"
"0001000"	"KIP"	"FH69069"	"M"	"A"
"0001001"	"KIP"	"FH69070"	"F"	"A"
"0001001"	"KIP"	"FH69071"	"M"	"A"
"0001001"	"KIP"	"FH69073"	"M"	"A"
"0001000"	"KIP"	"FH69074"	"F"	"A"
"0001000"	"KIP"	"FH69075"	"M"	"J"
"0001000"	"KIP"	"FH69076"	"F"	"A"
"0001000"	"KIP"	"FH69077"	"M"	"A"
"0001000"	"KIP"	"FH69079"	"M"	"J"
"0001101"	"KIP"	"FH69080"	"M"	"A"
"0001000"	"KIP"	"FH69081"	"F"	"J"
"0001000"	"KIP"	"FH69086"	"M"	"J"
"0001010"	"KIP"	"FH69111"	"F"	"J"
"0001000"	"KIP"	"FH69115"	"M"	"J"
"0001010"	"KIP"	"FH69122"	"F"	"J"
"0001101"	"KIP"	"FH69123"	"F"	"J"
"0001101"	"KIP"	"FH69123"	"F"	"J"
"0001111"	"KIP"	"FH69131"	"M"	"A"
"0001111"	"KIP"	"FH69132"	"M"	"J"
"0001100"	"KIP"	"FH69143"	"F"	"A"
"0001111"	"KIP"	"FH69199"	"M"	"A"
"0001111"	"KIP"	"FH69201"	"M"	"A"
"0001110"	"KIP"	"FH69203"	"F"	"J"
"0001101"	"KIP"	"FH69225"	"F"	"A"
"0001101"	"KIP"	"FH69225"	"F"	"A"
"0001111"	"KIP"	"FH69234"	"M"	"A"
"0001001"	"KIP"	"FH69236"	"F"	"J"
"0001111"	"KIP"	"FH69240"	"M"	"A"
"0000110"	"KIP"	"FH72103"	"M"	"A"
"0000101"	"KIP"	"FH72104"	"F"	"A"
"0000101"	"KIP"	"FH72104"	"F"	"A"
"0000100"	"KIP"	"FH72105"	"M"	"A"
"0000100"	"KIP"	"FH72106"	"F"	"A"
"0000111"	"KIP"	"FH72107"	"M"	"A"
"0000111"	"KIP"	"FH72107"	"M"	"A"
"0000110"	"KIP"	"FH72110"	"M"	"A"
"0000100"	"KIP"	"FH72111"	"M"	"J"
"0000100"	"KIP"	"FH72112"	"F"	"A"
"0000100"	"KIP"	"FH72113"	"M"	"J"
"0000100"	"KIP"	"FH72114"	"M"	"J"
"0000101"	"KIP"	"FH72115"	"M"	"A"
"0000111"	"KIP"	"FH72117"	"F"	"A"
"0000100"	"KIP"	"FH72118"	"F"	"A"
