"ch"	"species"	"ring"	"sex"	"age"
"0000001"	"MP"	"FH72968"	"M"	"J"
"0000001"	"MP"	"FH72969"	"F"	"J"
"0000001"	"MP"	"FH72970"	"M"	"A"
"0000001"	"MP"	"FH72971"	"F"	"A"
"0000001"	"MP"	"FH72989"	"F"	"A"
"0000010"	"MP"	"FH73009"	"M"	"J"
"0000010"	"MP"	"FH73010"	"F"	"J"
"0000010"	"MP"	"FH73011"	"F"	"A"
"0000010"	"MP"	"FH73012"	"M"	"A"
"0000010"	"MP"	"FH73016"	"M"	"J"
"0000011"	"MP"	"FH73017"	"M"	"A"
"0000010"	"MP"	"FH73019"	"M"	"J"
"0000011"	"MP"	"FH73020"	"M"	"A"
"0000010"	"MP"	"FH73021"	"F"	"A"
"0000010"	"MP"	"FH73037"	"F"	"J"
"0000011"	"MP"	"FH73038"	"M"	"A"
"0000010"	"MP"	"FH73060"	"M"	"J"
"0000001"	"MP"	"FH73179"	"M"	"A"
"0000001"	"MP"	"FH73211"	"F"	"A"
"0000001"	"MP"	"FH73216"	"M"	"A"
"0000001"	"MP"	"FH73218"	"F"	"A"
"0000001"	"MP"	"FH73251"	"M"	NA
"0000001"	"MP"	"FH73414"	"M"	"A"
"0000001"	"MP"	"FH73433"	"F"	"A"
"0000001"	"MP"	"FH73452"	"M"	"A"
"0000001"	"MP"	"FH73486"	"M"	"A"
"0000001"	"MP"	"FH73487"	"M"	"A"
"0000001"	"MP"	"FH73495"	"F"	"A"
"0000001"	"MP"	"FH73501"	"F"	"A"
"0000001"	"MP"	"FH73502"	"F"	"J"
"0000001"	"MP"	"FH73507"	"M"	"J"
"0000001"	"MP"	"FH73507"	"M"	"J"
"0000001"	"MP"	"FH73508"	"M"	"J"
"0000001"	"MP"	"FH73514"	"F"	"A"
"0000001"	"MP"	"FH73522"	"F"	"J"
"0000001"	"MP"	"FH73545"	"M"	"J"
"0000001"	"MP"	"FH73553"	"F"	"J"
"0000001"	"MP"	"FH73553"	"F"	"J"
"0000001"	"MP"	"FH73553"	"F"	"J"
"0000001"	"MP"	"FH73553"	"F"	"J"
"0000001"	"MP"	"FH73554"	"F"	"J"
"0000001"	"MP"	"FH73555"	"M"	"A"
"0000001"	"MP"	"FH73557"	"M"	"J"
"0000001"	"MP"	"FH73563"	"F"	"J"
"0000001"	"MP"	"FH73567"	"M"	"A"
"0000001"	"MP"	"FH73568"	"F"	"A"
"0000001"	"MP"	"FH73576"	"F"	"A"
"0000001"	"MP"	"FH73590"	"F"	"A"
